#,k fold group,Dandi_id,Dataset,Filename,top1,top2,top3,top4,top5
1,0,714,HL,2,0.879310345,0.93103448,0.94827586,0.96551724,0.98275862
2,0,541,EY,20190924_03,0.527173913,0.61413043,0.68478261,0.7173913,0.76630435
3,0,541,EY,20190925_04,0.607954545,0.69886364,0.76704545,0.77840909,0.79545455
4,0,541,EY,20190928_05,0.62804878,0.68902439,0.73170732,0.77439024,0.79878049
5,0,541,EY,20190928_08,0.530054645,0.62295082,0.69398907,0.72131148,0.75956284
6,0,541,EY,20191104_10,0.666666667,0.7183908,0.74712644,0.7816092,0.8045977
7,0,472,SK2,2021-12-03-w00-NP1,0.894736842,0.96491228,0.96491228,0.98245614,0.98245614
8,0,472,SK2,2022-02-12-w01-NP1,0.857142857,0.93650794,0.95238095,0.96825397,0.96825397
9,0,776,SF,2022-06-14-07,0.595744681,0.65957447,0.68085106,0.68085106,0.68085106
10,0,776,SF,2022-12-21-06,0.777777778,0.88888889,0.90740741,0.92592593,0.92592593
11,0,776,SF,2023-01-09-15,0.873684211,0.91578947,0.92631579,0.93684211,0.93684211
12,0,776,SF,2023-01-10-07,0.865853659,0.90243902,0.92682927,0.93902439,0.93902439
13,0,776,SF,2023-01-13-07,0.888888889,0.94444444,0.97222222,0.97222222,0.97222222
14,0,776,SF,2023-01-18-01,0.974358974,0.97435897,1,1,1
15,0,776,SF,2023-01-23-15,0.807692308,0.88461538,0.91025641,0.94871795,0.94871795
16,0,565,SK1,20230322-18-57-04,0.652173913,0.80434783,0.86956522,0.86956522,0.86956522
17,0,565,SK1,20230322-21-41-10,0.794117647,0.88235294,0.94117647,0.94117647,0.94117647
18,0,565,SK1,20230506-12-56-00,0.617021277,0.72340426,0.80851064,0.85106383,0.87234043
19,0,565,SK1,20230510-15-49-47,0.813953488,0.93023256,0.97674419,0.97674419,0.97674419
20,0,692,KK,20230918-17-21-0,0.551282051,0.64102564,0.71794872,0.75641026,0.77564103
21,0,692,KK,20230928-16-0-0,0.573333333,0.65333333,0.70666667,0.76666667,0.76666667
22,0,714,HL,7,0.90625,0.953125,0.984375,0.984375,1
23,1,541,EY,20190924_02,0.636363636,0.69318182,0.72727273,0.75568182,0.78409091
24,1,541,EY,20190929_02,0.408536585,0.51829268,0.57926829,0.62804878,0.65243902
25,1,541,EY,20191030_03,0.631868132,0.71428571,0.76923077,0.78021978,0.81868132
26,1,541,EY,20191104_08,0.610169492,0.68361582,0.72881356,0.76271186,0.79661017
27,1,472,SK2,2022-01-22-w04-NP1,0.895833333,0.9375,0.97916667,0.97916667,0.97916667
28,1,472,SK2,2022-03-05-w00-NP1,0.807692308,0.92307692,0.96153846,0.96153846,0.96153846
29,1,776,SF,2022-06-28-01,0.830508475,0.91525424,0.91525424,0.93220339,0.93220339
30,1,776,SF,2022-07-15-12,0.822580645,0.88709677,0.88709677,0.90322581,0.91935484
31,1,565,SK1,20221106-21-00-09,0.757575758,0.87878788,0.93939394,0.93939394,0.93939394
32,1,565,SK1,20221106-21-23-19,0.72,0.86,0.88,0.88,0.9
33,1,776,SF,2023-01-16-15,0.928571429,0.95714286,0.97142857,0.98571429,1
34,1,776,SF,2023-01-16-22,0.820512821,0.93589744,0.94871795,0.96153846,0.96153846
35,1,776,SF,2023-01-23-08,0.903225806,0.9516129,0.96774194,0.96774194,0.96774194
36,1,565,SK1,20230506-14-24-57,0.666666667,0.76470588,0.80392157,0.80392157,0.84313725
37,1,565,SK1,20230904-15-09-05,0.628205128,0.74358974,0.79487179,0.83333333,0.85897436
38,1,692,KK,20230918-9-54-0,0.526666667,0.66,0.69333333,0.73333333,0.74
39,1,714,HL,3,0.890625,0.953125,0.984375,0.984375,0.984375
40,1,714,HL,6,0.910447761,0.95522388,0.98507463,0.98507463,0.98507463
41,2,714,HL,1,0.870967742,0.93548387,0.93548387,0.9516129,0.98387097
42,2,541,EY,20190924_01,0.633333333,0.68888889,0.72777778,0.78888889,0.81666667
43,2,541,EY,20190928_13,0.6,0.66857143,0.69142857,0.74857143,0.78285714
44,2,541,EY,20190929_03,0.474285714,0.63428571,0.68571429,0.72571429,0.75428571
45,2,541,EY,20190929_05,0.523809524,0.63095238,0.70238095,0.72619048,0.77380952
46,2,472,SK2,2022-02-12-w00-NP1,0.666666667,0.81666667,0.81666667,0.88333333,0.9
47,2,472,SK2,2022-04-26-w01-NP1,0.925,1,1,1,1
48,2,565,SK1,20221215-20-02-49,0.734375,0.859375,0.90625,0.953125,0.953125
49,2,776,SF,2023-01-05-18,0.841463415,0.91463415,0.96341463,0.97560976,0.98780488
50,2,776,SF,2023-01-09-22,0.868421053,0.92105263,0.98684211,0.98684211,0.98684211
51,2,776,SF,2023-01-16-01,0.87012987,0.90909091,0.94805195,0.94805195,0.96103896
52,2,776,SF,2023-03-07-01,0.816666667,0.88333333,0.93333333,0.95,0.95
53,2,565,SK1,20230322-20-16-50,0.636363636,0.79545455,0.84090909,0.88636364,0.90909091
54,2,565,SK1,20230506-15-01-45,0.818181818,0.90909091,0.93939394,0.96969697,1
55,2,565,SK1,20230510-13-25-46,0.891304348,0.95652174,0.97826087,0.97826087,0.97826087
56,2,692,KK,20231013-11-11-0,0.552147239,0.63803681,0.72392638,0.7607362,0.7791411
57,2,692,KK,20231013-13-28-0,0.642857143,0.72727273,0.77272727,0.7987013,0.82467532
58,2,714,HL,8,0.878787879,0.93939394,0.98484848,0.98484848,0.98484848
59,3,541,EY,20190925_01,0.538888889,0.63888889,0.68888889,0.73333333,0.77222222
60,3,541,EY,20190928_01,0.556213018,0.67455621,0.71005917,0.78698225,0.81656805
61,3,541,EY,20190928_07,0.603351955,0.70391061,0.72067039,0.74860335,0.76536313
62,3,541,EY,20190929_07,0.596590909,0.70454545,0.76704545,0.77840909,0.80113636
63,3,472,SK2,2022-02-22-w04-NP1,0.8125,1,1,1,1
64,3,472,SK2,2022-04-26-w00-NP1,0.921052632,0.94736842,0.97368421,1,1
65,3,776,SF,2022-07-20-01,0.688311688,0.84415584,0.92207792,0.93506494,0.94805195
66,3,565,SK1,20221028-18-48-00,0.681818182,0.79545455,0.84090909,0.90909091,0.90909091
67,3,776,SF,2023-01-16-08,0.794117647,0.91176471,0.94117647,0.95588235,0.95588235
68,3,776,SF,2023-01-17-07,0.924050633,0.97468354,0.98734177,1,1
69,3,776,SF,2023-01-23-21,0.914634146,0.93902439,0.97560976,0.97560976,0.97560976
70,3,565,SK1,20230322-22-43-03,0.69047619,0.78571429,0.9047619,0.9047619,0.95238095
71,3,565,SK1,20230510-12-53-34,0.795918367,0.83673469,0.85714286,0.85714286,0.85714286
72,3,565,SK1,20230909-16-48-09,0.777777778,0.86111111,0.88888889,0.91666667,0.94444444
73,3,692,KK,20230918-13-21-0,0.523489933,0.59731544,0.65771812,0.71812081,0.76510067
74,3,692,KK,20230928-11-14-0,0.560509554,0.62420382,0.69426752,0.73248408,0.78980892
75,3,714,HL,4,0.888888889,0.96825397,0.98412698,0.98412698,0.98412698
76,3,714,HL,9,0.925373134,0.95522388,0.97014925,0.98507463,0.98507463
77,4,541,EY,20190928_03,0.502994012,0.58682635,0.65868263,0.69461078,0.7245509
78,4,541,EY,20190928_11,0.655367232,0.72316384,0.75706215,0.82485876,0.84180791
79,4,541,EY,20190929_06,0.605714286,0.67428571,0.71428571,0.74857143,0.76
80,4,541,EY,20191030_07,0.56,0.65714286,0.69714286,0.74285714,0.76571429
81,4,472,SK2,2022-02-11-w03-NP1,0.953488372,1,1,1,1
82,4,472,SK2,2022-04-01-w00-NP1,0.772727273,0.84090909,0.90909091,0.90909091,0.93181818
83,4,776,SF,2022-06-14-01,0.890909091,0.96363636,0.96363636,0.96363636,0.96363636
84,4,776,SF,2022-06-14-13,0.753623188,0.85507246,0.88405797,0.89855072,0.91304348
85,4,565,SK1,20221106-21-47-31,0.660377358,0.75471698,0.79245283,0.81132075,0.83018868
86,4,776,SF,2023-01-06-01,0.863636364,0.92424242,0.95454545,0.96969697,0.96969697
87,4,776,SF,2023-01-06-08,0.888888889,0.93055556,0.94444444,0.97222222,0.97222222
88,4,776,SF,2023-01-17-01,0.843373494,0.89156627,0.90361446,0.92771084,0.95180723
89,4,776,SF,2023-01-19-08,0.763636364,0.92727273,0.94545455,0.96363636,0.98181818
90,4,565,SK1,20230506-15-33-51,0.75,0.77272727,0.77272727,0.93181818,0.93181818
91,4,565,SK1,20230904-14-30-52,0.731707317,0.82926829,0.87804878,0.87804878,0.8902439
92,4,565,SK1,20230904-15-59-40,0.714285714,0.78571429,0.82142857,0.85714286,0.85714286
93,4,692,KK,20230928-14-27-0,0.538961039,0.64935065,0.71428571,0.74675325,0.78571429
94,4,714,HL,5,0.84375,0.953125,0.953125,0.96875,1
