Filename,Best_template,top1,top2,top3,top4,top5,cost
6,2,0.6902654867256637,0.7522123893805309,0.7964601769911505,0.8053097345132744,0.8141592920353983,5.031103759987702
7,9,0.811965811965812,0.8888888888888888,0.9230769230769232,0.9401709401709402,0.9401709401709402,4.505725924784354
2022-12-21-06,2023-01-10-07,0.4776119402985074,0.6567164179104478,0.7313432835820896,0.7611940298507462,0.7910447761194029,5.986397748668751
20221106-21-00-09,20221106-21-23-19,0.5172413793103449,0.646551724137931,0.6810344827586207,0.7155172413793104,0.7327586206896551,5.559810250092598
20230322-20-16-50,20230322-18-57-04,0.4796747967479675,0.5528455284552846,0.6260162601626016,0.6666666666666666,0.6991869918699187,4.90775420502232
5,4,0.8536585365853658,0.9105691056910568,0.926829268292683,0.926829268292683,0.943089430894309,4.711166150308926
2023-01-06-08,2022-08-02-01,0.6179775280898876,0.7415730337078652,0.7865168539325843,0.797752808988764,0.8202247191011236,7.3240962055234
4,1,0.8442622950819673,0.8934426229508197,0.9016393442622952,0.9016393442622952,0.9016393442622952,3.949723207102785
20230918-17-21-0,20230928-16-0-0,0.3141025641025641,0.4038461538461538,0.4294871794871794,0.4679487179487179,0.4871794871794871,9.182134802606765
2021-12-03-w00-NP1,2022-04-26-w01-NP1,0.686046511627907,0.7267441860465116,0.7674418604651163,0.7674418604651163,0.7790697674418605,6.477175768197999
20221106-21-47-31,20221215-20-02-49,0.4017094017094017,0.5299145299145299,0.5726495726495726,0.6068376068376068,0.6410256410256411,4.024063028291075
20230322-22-43-03,20230322-21-41-10,0.6890756302521008,0.7647058823529411,0.7899159663865546,0.8067226890756303,0.8067226890756303,4.1941345030242365
20230506-12-56-00,20230909-16-48-09,0.4653465346534653,0.6435643564356436,0.7425742574257426,0.7425742574257426,0.7524752475247525,3.742093936774784
20230506-14-24-57,20230904-14-30-52,0.3942307692307692,0.5096153846153846,0.6442307692307693,0.7211538461538461,0.7211538461538461,3.4719071626448303
1,4,0.831858407079646,0.8672566371681416,0.8938053097345132,0.911504424778761,0.9203539823008848,3.8577483138695
38_YAaDV,76_YAaDV,0.413265306122449,0.5408163265306123,0.5969387755102041,0.6428571428571429,0.6683673469387755,7.520442307391394
2023-01-16-08,2023-01-09-08,0.3645833333333333,0.4479166666666667,0.53125,0.53125,0.5625,6.822583753690277
20230510-13-25-46,20230506-15-01-45,0.5752212389380531,0.7079646017699115,0.7522123893805309,0.7699115044247787,0.7876106194690266,2.9932368185566656
56_YAaDV,76_YAaDV,0.3775510204081632,0.5408163265306123,0.6122448979591837,0.673469387755102,0.6938775510204082,7.093073263897547
20190928_08,20190925_04,0.4316939890710382,0.5683060109289617,0.639344262295082,0.6939890710382514,0.7377049180327869,8.714936994915535
3,9,0.7863247863247863,0.8632478632478633,0.9145299145299144,0.9230769230769232,0.9230769230769232,3.90479591832987
2023-01-16-22,2022-08-02-01,0.5652173913043478,0.6847826086956522,0.7282608695652174,0.7391304347826086,0.7717391304347826,8.130146214519659
2,1,0.7603305785123967,0.859504132231405,0.8677685950413223,0.8925619834710744,0.8925619834710744,4.231721858140042
2023-01-13-07,2022-08-02-01,0.4761904761904761,0.6071428571428571,0.7380952380952381,0.75,0.7738095238095238,8.065275357398415
20191104_10,20191030_07,0.5517241379310345,0.6264367816091954,0.7068965517241379,0.735632183908046,0.7528735632183908,6.290930510937318
20190929_06,20190925_01,0.4719101123595505,0.5955056179775281,0.6404494382022472,0.6741573033707865,0.6853932584269663,7.431459209568268
20230928-14-27-0,20230928-16-0-0,0.3376623376623376,0.4415584415584415,0.487012987012987,0.5194805194805194,0.5324675324675324,8.96769441231796
64_YAaDV,76_YAaDV,0.46875,0.5625,0.6302083333333334,0.6770833333333334,0.7083333333333334,6.947280526876436
2023-01-23-15,2023-01-17-07,0.5392156862745098,0.6666666666666666,0.7058823529411765,0.7450980392156863,0.7745098039215687,6.340331609920586
20190929_07,20190929_03,0.4632768361581921,0.6101694915254238,0.6440677966101694,0.7005649717514124,0.7401129943502824,7.289812653094979
2023-01-17-07,2022-08-02-01,0.6511627906976745,0.7441860465116279,0.7906976744186046,0.8255813953488372,0.8255813953488372,4.464449182867078
20191030_03,20191104_08,0.5081081081081081,0.5945945945945946,0.6756756756756757,0.6864864864864865,0.7189189189189189,7.156896740908032
20190929_05,20191104_10,0.4823529411764706,0.6470588235294118,0.7176470588235294,0.7588235294117647,0.7764705882352941,7.116548773075462
2022-03-05-w00-NP1,2022-02-12-w01-NP1,0.75,0.8630952380952381,0.8869047619047619,0.9047619047619048,0.9047619047619048,4.300089134182494
20190925_04,20190924_03,0.0225988700564971,0.0903954802259887,0.1299435028248587,0.1638418079096045,0.1694915254237288,9.038594170786675
11_YAaLR,70_YAaLR,0.4793814432989691,0.5927835051546392,0.6597938144329897,0.7010309278350515,0.7319587628865979,8.803290696201987
76_YAaDV,64_YAaDV,0.4404145077720207,0.5544041450777202,0.6683937823834197,0.694300518134715,0.7305699481865285,7.398860751065875
2022-07-15-12,2022-08-02-01,0.5531914893617021,0.7021276595744681,0.723404255319149,0.7872340425531915,0.8085106382978723,6.125999452921092
20191030_07,20191104_10,0.5,0.5944444444444444,0.6555555555555556,0.7111111111111111,0.7388888888888889,6.629562425500569
20190925_01,20190928_07,0.5489130434782609,0.6195652173913043,0.6630434782608695,0.6902173913043478,0.7065217391304348,6.458698815715123
2023-01-17-01,2022-08-02-01,0.5,0.6666666666666666,0.71875,0.71875,0.75,8.353533116234098
20230928-11-14-0,20230928-14-27-0,0.286624203821656,0.3439490445859872,0.4076433121019108,0.4331210191082802,0.4777070063694267,9.29943545160773
2023-01-09-15,2023-01-09-08,0.2941176470588235,0.3529411764705882,0.3725490196078431,0.3823529411764705,0.3823529411764705,6.487200791287823
20190929_03,20191104_10,0.4606741573033708,0.5842696629213483,0.6685393258426966,0.7191011235955056,0.7359550561797753,6.911803832623175
20231013-11-11-0,20231013-13-28-0,0.0368098159509202,0.0920245398773006,0.1104294478527607,0.1349693251533742,0.1595092024539877,8.755763661524885
20190929_02,20190924_03,0.2951807228915662,0.3975903614457831,0.4698795180722891,0.5481927710843374,0.5903614457831325,7.905479943981033
20221028-18-48-00,20221106-21-47-31,0.5754716981132075,0.6886792452830188,0.7452830188679245,0.8018867924528302,0.8301886792452831,4.291859967144445
2023-01-19-08,2022-08-02-01,0.4456521739130434,0.6086956521739131,0.6847826086956522,0.7282608695652174,0.7391304347826086,6.680965335095125
2023-01-23-21,2023-01-18-01,0.5346534653465347,0.6237623762376238,0.6534653465346535,0.6534653465346535,0.6831683168316832,7.048339723727191
2022-02-12-w01-NP1,2022-02-12-w00-NP1,0.7821229050279329,0.8659217877094972,0.888268156424581,0.8994413407821229,0.8994413407821229,4.096017118858106
20230909-16-48-09,20230510-13-25-46,0.6410256410256411,0.7948717948717948,0.8076923076923077,0.8205128205128205,0.8333333333333334,3.583537982997301
2023-01-05-18,2022-08-02-01,0.6067415730337079,0.6966292134831461,0.7415730337078652,0.7865168539325843,0.7865168539325843,7.099681224537545
2023-01-23-08,2022-08-02-01,0.5227272727272727,0.6363636363636364,0.6590909090909091,0.7045454545454546,0.75,7.195818238429826
2023-01-10-07,2023-01-18-01,0.5961538461538461,0.6730769230769231,0.7019230769230769,0.7115384615384616,0.7211538461538461,4.965785749051076
20221215-20-02-49,20221106-21-47-31,0.4166666666666667,0.5303030303030303,0.553030303030303,0.5757575757575758,0.5984848484848485,4.047379402358857
2022-06-14-01,2022-06-14-07,0.6329113924050633,0.6835443037974683,0.759493670886076,0.7974683544303798,0.8227848101265823,6.496693133959838
2022-02-11-w03-NP1,2022-04-01-w00-NP1,0.7202380952380952,0.8452380952380952,0.8690476190476191,0.9047619047619048,0.9107142857142856,4.438080449998845
20230904-15-09-05,20230506-15-01-45,0.4552238805970149,0.5447761194029851,0.6044776119402985,0.6044776119402985,0.6194029850746269,3.3715422959988786
20230928-16-0-0,20230928-14-27-0,0.3666666666666666,0.44,0.4733333333333333,0.5133333333333333,0.5133333333333333,8.621259583077904
20230510-15-49-47,20230510-12-53-34,0.6635514018691588,0.7663551401869159,0.8037383177570093,0.8411214953271028,0.8504672897196262,3.311501413490727
2023-01-09-22,2022-12-21-06,0.3958333333333333,0.5208333333333334,0.5833333333333334,0.59375,0.6145833333333334,6.057233272120253
2022-02-22-w04-NP1,2022-04-26-w00-NP1,0.8333333333333334,0.8908045977011494,0.9195402298850576,0.9252873563218392,0.9252873563218392,5.017712734060525
20191104_08,20191030_03,0.5251396648044693,0.659217877094972,0.6983240223463687,0.7262569832402235,0.7374301675977654,6.708412011793996
2022-02-12-w00-NP1,2022-02-12-w01-NP1,0.8057142857142857,0.8628571428571429,0.9085714285714286,0.9085714285714286,0.9085714285714286,4.252047770820717
2022-06-14-07,2023-01-17-14,0.5617977528089888,0.6853932584269663,0.7528089887640449,0.7752808988764045,0.7865168539325843,6.319794176356411
2022-06-14-13,2022-06-14-07,0.6020408163265306,0.673469387755102,0.7244897959183674,0.7244897959183674,0.7244897959183674,6.5656323690339855
20230506-15-33-51,20230510-12-53-34,0.5922330097087378,0.6893203883495146,0.7475728155339806,0.7864077669902912,0.7864077669902912,2.9280411337247023
20230322-18-57-04,20230909-16-48-09,0.45,0.5916666666666667,0.6333333333333333,0.6416666666666667,0.6583333333333333,4.053038795051085
2022-06-28-01,2022-06-28-07,0.4415584415584415,0.5584415584415584,0.6363636363636364,0.6623376623376623,0.6753246753246753,8.069021612750426
20_YAaLR,7_YAaLR,0.4845360824742268,0.634020618556701,0.6855670103092784,0.7216494845360825,0.7422680412371134,8.608992434744318
2022-04-01-w00-NP1,2022-01-22-w04-NP1,0.7530120481927711,0.8373493975903614,0.8855421686746988,0.9036144578313252,0.9096385542168676,4.192157735249334
2023-03-07-01,2022-08-02-01,0.5909090909090909,0.7386363636363636,0.8181818181818182,0.8409090909090909,0.8636363636363636,6.700835108786428
