GT,Top1,Top2,Top3,Top4,Top5
I1R,I1L,I1R,MCR,I2R,NSMR
I1L,I1L,I1R,I2L,MCL,MCR
URAVR,I1L,I2R,MCR,I1R,NSMR
URYVR,I1R,MCR,I1L,I2R,NSMR
I2L,I2L,NSML,MCL,I1L,IL2VL
MCL,MCL,NSML,I2L,I1L,MCR
I2R,I2R,NSMR,MCR,I1R,I1L
MCR,MCR,NSMR,I2R,I1L,I1R
NSML,NSML,MCL,I2L,M3L,IL2VL
NSMR,NSMR,MCR,I2R,M3R,I1R
MI,MI,I3,M4,I1L,MCR
I3,I3,MI,M4,IL2DR,IL2DL
M4,M4,I3,MCR,MI,IL2DR
M3R,M3R,NSMR,MCR,I2R,IL2R
M3L,M3L,NSML,IL2VL,MCL,I2L
IL1R,IL1R,IL2R,M3R,OLLR,NSMR
IL2VR,IL2VR,IL1VR,URYVR,M3R,IL2VL
IL2DR,IL2DR,IL2R,IL1DR,URADR,URYDR
URYVL,URYVL,IL1L,IL2L,URBL,M3L
IL2R,IL2R,IL2DR,OLLR,IL1R,URADR
IL2DL,IL2DL,IL1DL,URADL,OLLL,URYDL
IL2L,IL2L,URBL,IL1L,OLLL,RIPL
URBL,URBL,IL1L,IL2L,OLLL,URYVL
IL1VR,IL1VR,URYVR,IL2VR,IL1VL,IL1R
URADR,URADR,OLLR,URYDR,IL1DR,IL2R
IL2VL,URAVL,URYVL,IL2VL,IL1VL,OLQVL
OLQVL,IL1L,URYVL,URBL,IL2L,OLLL
OLLR,OLLR,URBR,URYDR,IL2R,IL1R
URADL,URADL,OLLL,IL1DL,URYDL,URBL
OLLL,OLLL,URBL,IL1L,RIPL,URYDL
OLQVR,URYVR,IL1R,URBR,OLQVR,OLLR
URAVL,URAVL,URYVL,OLQVL,IL1VL,IL1L
IL1DL,IL1DL,IL1DR,URYDL,URADL,OLLL
IL1DR,URYDR,IL1DR,URADR,OLLR,IL1DL
URBR,URBR,OLLR,IL1R,URYDR,IL2R
IL1VL,IL1VL,IL1VR,URYVL,URAVL,OLQVL
IL1L,URBL,RIPL,BAGL,IL1L,URYVL
,OLQVR,IL1VR,URYVR,IL1VL,URAVR
,IL1DR,URYDR,OLLR,URADR,IL1R
URYDL,URYDL,IL1DL,OLQDL,OLLL,URADL
URYDR,URYDR,IL1DR,OLQDR,OLLR,URADR
RIPL,RIPL,BAGL,URBL,OLQVL,URYVL
BAGL,BAGL,OLQVL,URYVL,URAVL,RIPL
BAGR,OLQVR,BAGR,URYVR,RIPR,URBR
SIADR,URAVR,OLQVR,URAVL,URYVR,CEPVR
RIPR,RIPR,URBR,BAGR,RMER,URYDR
OLQDL,OLQDL,URYDL,OLQDR,IL1DL,RMED
SIBDR,OLQVL,URAVL,CEPVL,BAGL,URYVL
RMEL,RMEL,RIPL,BAGL,URBL,URYDL
RMER,RMER,URYDR,RIPR,BAGR,URBR
OLQDR,OLQDR,URYDR,OLQDL,RMED,IL1DR
RMED,RMED,OLQDR,OLQDL,URYDR,RID
RMDVL,RMDVL,BAGL,RMEL,SAAVL,OLQVL
CEPVL,CEPVL,OLQVL,RMEV,CEPVR,BAGL
CEPVR,OLQVR,CEPVR,CEPVL,BAGR,RMEV
SMDDR,OLQVR,CEPVR,BAGR,CEPVL,RMEV
AVER,BAGR,OLQVR,CEPVR,RMDVR,AVAR
SIADL,RMEV,CEPVL,RIH,CEPVR,RMDL
RMDR,OLQVR,CEPVR,RMEV,BAGR,AVER
AVAL,AVAL,RMDVL,SAAVL,AFDL,RMDL
RIAL,SAAVL,RIAL,RMDVL,SMDVL,AVAL
RMDVR,RMDVR,AVAR,BAGR,SAAVR,RMER
RMEV,RMEV,RMDL,RIH,CEPVL,SAADL
AFDL,RMDVL,AVAL,SAAVL,AFDL,RIAL
AVAR,AVER,AVAR,RMEV,RMDR,CEPVR
SIBDL,RMDL,SIBDL,AWCL,AVEL,AFDL
RIH,RIH,RMEV,SAADL,SAADR,AVER
AFDR,AVER,AFDR,AVAR,RMDR,SAAVR
AWAL,SMDVL,RIAL,SAAVL,URXL,CEPDL
ASHL,AFDL,AVAL,RMDL,RMDVL,AVEL
AWAR,AVAR,AFDR,RMDVR,SAAVR,RIAR
SAAVR,SAAVR,AVAR,RIAR,RMDVR,AFDR
ASEL,AVAL,AFDL,AWBL,RMDVL,SAAVL
SMDVL,URXL,CEPDL,SMDVL,RIAL,ALA
RIAR,RIAR,SAAVR,SMDVR,ASKR,ADFR
ASGL,SMDVL,RIAL,AWBL,ADFL,SAAVL
RID,RID,ALA,URXR,URXL,CEPDR
SMDVR,SMDVR,RIAR,ASKR,CEPDR,SAAVR
AWCL,SIBDL,AWCL,RMDL,AIBL,ASHL
URXR,URXR,URXL,CEPDR,RID,ALA
ADFR,AFDR,AVER,ADFR,AVAR,AWBR
AWBR,AVER,AFDR,RMDR,AVAR,AWCR
ADLL,SMDVL,ASKL,RIAL,CEPDL,URXL
AVHL,AWBL,SMDVL,ADFL,ASGL,AVHL
SAAVL,RIAL,SMDVL,SAAVL,ASKL,ADFL
ADFL,ADFL,AWBL,AWAL,AFDL,ASGL
RMDL,SIBDL,AWCL,RMDL,AIBL,ASHL
AWCR,RMDR,AWCR,SIBDR,AVER,AIBR
AVEL,AVEL,RMDL,AIBL,AFDL,SIBDL
ASGR,AFDR,AVAR,AWBR,RMDVR,ADFR
ASKR,ASKR,RIAR,ADFR,SMDVR,AWBR
AWBL,AWCL,ASHL,ASEL,AFDL,AWAL
CEPDR,CEPDR,URXR,ASKR,SMDVR,ALA
CEPDL,CEPDL,URXL,ASKL,SMDVL,RIAL
ASIL,ASGL,ADLL,AWBL,ASKL,ADFL
SAADR,SAADL,SAADR,SIBVR,RMDDL,AVER
ADLR,ADFR,AWBR,AFDR,AWAR,RIAR
RIBL,ASEL,ASHL,AWAL,AWBL,ASGL
URXL,URXL,CEPDL,ASKL,ALA,ADLL
ASKL,ASKL,ADLL,SMDVL,ASGL,ASIL
AIBL,AIBL,AWCL,AUAL,ASHL,SIBDL
ALA,ALA,URXL,CEPDR,RID,URXR
ASHR,SIBDR,AWCR,AIBR,ASHR,RMDR
AVBL,AVHL,ASEL,ASGL,AWBL,AWAL
ASER,AWCR,ASHR,AFDR,ASER,RMDR
RIR,SIBVR,SAADR,RIR,AIBR,SAADL
RIMR,AVER,AIBR,ASHR,AWCR,SIBDR
