GT,Top1,Top2,Top3,Top4,Top5
,I1L,I1R,I2L,MCL,MI
,I1L,I1R,I2L,MCL,NSML
,I1R,I1L,I2R,MCR,MCL
,IL2VL,I2L,NSML,MCL,I1L
I2R,I2R,NSMR,MCR,I1R,IL2VR
MCR,MCR,I2R,NSMR,I1R,MCL
I2L,MCL,I2L,NSML,I1L,M3L
MCL,MCL,I2L,NSML,I1L,MCR
MI,MI,I3,IL2DR,IL2DL,I1L
NSMR,NSMR,I2R,MCR,M3R,I1R
I3,I3,MI,IL2DR,M4,IL2DL
NSML,NSML,I2L,MCL,IL2VL,M3L
,IL2L,IL1L,NSML,I2L,M3L
,M4,I3,IL2DR,MI,IL2DL
M3R,M3R,IL2VR,NSMR,I2R,IL1R
,IL2R,IL2DR,IL1R,NSMR,URADR
M3L,M3L,IL2VL,NSML,IL1VL,URYVL
,IL2DL,URADL,I3,IL1DL,M4
,IL1VL,IL1VR,IL2VL,URAVL,URYVL
,URADR,IL2DR,IL2R,OLLR,M4
,OLLR,URADR,IL2R,URBR,IL2DR
,URADL,IL1DL,OLLL,URYDL,IL2DL
,IL1L,URYVL,IL2L,URBL,OLLL
,IL1R,IL2R,URBR,OLLR,URYVR
IL1DR,IL1DR,IL1DL,URADR,URYDR,IL2DR
,URAVL,URYVL,IL1VL,IL1VR,OLQVL
,OLLL,URBL,URYDL,URADL,IL1DL
IL1DL,IL1DL,IL1DR,URADL,URYDL,OLLL
,URBR,OLLR,IL2R,IL1R,RIPR
,URYDR,URADR,OLLR,IL1DR,IL2DR
,URYVL,OLQVL,URBL,IL1L,URAVL
,URYDL,IL1DL,OLLL,URADL,OLQDL
,URBL,RIPL,URYVL,OLLL,OLQVL
,OLQVR,IL1VR,URAVR,URYVR,IL2VR
,OLQVR,URYVR,IL1VR,URBR,BAGR
,OLQVL,URAVL,IL1VL,URYVL,IL1VR
OLQDR,OLQDR,URYDR,IL1DR,OLLR,URADR
,RIPR,URBR,OLLR,URYDR,RMER
,RIPL,URBL,URYDL,RMEL,OLLL
OLQVL,OLQVL,URYVL,BAGL,URAVL,CEPVL
OLQDL,OLQDL,URYDL,OLQDR,IL1DL,RMED
,OLQVR,BAGR,RMER,RIPR,URBR
RMED,RMED,OLQDR,OLQDL,URYDR,IL1DR
,OLQVR,BAGR,URAVR,CEPVR,URYVR
,RMER,RIPR,URYDR,URBR,BAGR
,RMEL,RIPL,BAGL,URBL,URYDL
,BAGL,OLQVL,CEPVL,RMEL,URYVL
,CEPVL,BAGL,OLQVL,CEPVR,URAVL
,BAGR,CEPVR,OLQVR,RMER,URAVR
,OLQVR,CEPVR,CEPVL,BAGR,URAVR
RMDVR,RMER,RMDVR,BAGR,RIPR,OLQVR
,CEPVL,CEPVR,RMEV,OLQVL,BAGL
,SAAVR,RMDVR,BAGR,AVAR,RMER
RID,RID,RMED,ALA,URXR,URXL
RMDVL,RMDVL,SAAVL,RIAL,AVAL,SMDVL
,AVAR,SAAVR,RMDVR,RMER,AFDR
,CEPVR,RIH,RMDR,RMEV,CEPVL
AVAR,AVAR,RMDVR,SAAVR,AFDR,RMDR
,SAAVR,RMDVR,AVAR,RIAR,SMDVR
SMDVL,SAAVL,SMDVL,RIAL,CEPDL,URXL
,SMDVR,RIAR,SAAVR,CEPDR,URXR
AVAL,AVAL,SAAVL,RIAL,AFDL,RMDVL
,RIH,RMEV,RMDR,SAADR,AVER
,SMDVR,RIAR,SAAVR,AVAR,AFDR
URXR,URXR,CEPDR,ALA,SMDVR,ASKR
RIAL,SMDVL,RIAL,SAAVL,CEPDL,ASKL
ALA,ALA,URXR,URXL,CEPDL,RID
CEPDR,CEPDR,URXR,SMDVR,ASKR,ALA
AVEL,RMDL,AVEL,AFDL,RIAL,SIBDL
CEPDL,CEPDL,SMDVL,URXL,RIAL,ASKL
AVER,AVER,RMDR,AVAR,AFDR,AIBR
URXL,URXL,CEPDL,ALA,ASKL,SMDVL
,RMEV,SAADL,SAADR,RIH,RMDL
AFDL,AFDL,RIAL,SAAVL,AWBL,AVEL
,ASKR,SMDVR,RIAR,URXR,CEPDR
,RMDL,AVEL,SIBDL,AFDL,AWCL
,AVER,AFDR,RMDR,AVAR,AWBR
,AVER,RMDR,AVAR,AIBR,AWCR
,RIAR,SMDVR,ASKR,AWBR,ADFR
,AFDR,AVER,AWBR,RMDR,AVAR
,AVEL,AFDL,RMDL,AWBL,AIBL
,SAADL,SAADR,RMDDL,RMDDR,SIBVL
,ASKL,SMDVL,RIAL,AWAL,AWBL
,AWCL,SIBDL,AIBL,RMDL,ASHL
,RMDR,RMDDR,AIBR,AVER,SAADR
,ASKR,ADLR,CEPDR,SMDVR,URXR
,ASHR,AIBR,AWBR,AFDR,AWCR
,RMDDL,AIBL,SIBDL,SMDDL,SAADL
,AWAR,AWBR,ASGR,ASHR,AFDR
,ASHL,AWBL,AWAL,ASEL,AIBL
,ASKL,SMDVL,AWBL,ASGL,ADLL
,AWBL,ASGL,AWAL,ASEL,ADFL
,ASGR,AWBR,AWAR,ADLR,ASER
,SIBVL,RMDDL,RMFL,SMBDL,RMFR
,ADLR,ASKR,ASGR,ASIR,RIVR
,AIBL,ASHL,AWCL,SIBDL,ASEL
,AWCR,AIBR,AUAR,ASHR,SIBDR
,RMDDR,AIBR,RMHR,SIBVR,SMBDR
,ASEL,AIBL,ASHL,AWAL,RIBL
,AIBR,RMDDR,AUAR,RIBR,AWCR
,ASGL,AWAL,ASEL,ASIL,AWBL
,ADLL,ASKL,ASIL,ASGL,RIVL
,SMBDL,RMDDL,RMFL,RMHL,SMDDL
,ASER,ASHR,AWAR,ASGR,AVHR
,RIVR,ADLR,ASIR,AVHR,ASGR
,RMFR,SMBDR,RMDDR,RMFL,SMBDL
AVHL,AVHL,ASGL,AVJL,ASIL,RIVL
,AUAL,SMBDL,RMDDL,ASJL,RIML
