GT,Top1,Top2,Top3,Top4,Top5
,I1R,I2R,MCR,NSMR,I1L
,I3,MI,IL2DL,I1L,I2L
,M4,IL2DL,I3,URADL,MI
M3R,M3R,NSMR,I2R,MCR,M3L
IL2VR,IL2VR,IL1VR,NSMR,IL2VL,I2R
IL1VR,IL1VR,IL1VL,URYVR,IL2VR,IL2VL
IL2R,IL2R,IL1R,NSMR,I2R,MCR
,URBL,OLLL,IL2L,IL1L,URADL
URADR,URADR,M4,IL2DR,IL2R,I3
,URYVL,M3L,IL1L,URAVL,URBL
OLLR,OLLR,URBR,IL2R,IL1R,URADR
IL2DR,IL2DR,URADR,I3,IL2R,MI
IL1R,IL1R,URYVR,IL2R,RIPR,URBR
IL1DL,IL1DL,URADL,URYDL,OLLL,IL2DL
IL1DR,IL1DR,URYDR,IL1DL,URADR,IL2DR
URBR,URBR,OLLR,URYVR,OLQVR,RIPR
IL1VL,IL1VR,URYVR,IL1VL,OLQVR,URAVR
URYDR,URYDR,IL1DR,RIPR,OLLR,URADR
URYDL,URYDL,OLLL,URADL,URBL,RIPL
URYVR,URYVR,OLQVR,URAVR,CEPVR,BAGR
BAGR,BAGR,OLQVR,RIPR,URYVR,URAVR
OLQDL,OLQDL,URYDL,OLLL,OLQDR,URBL
OLQDR,OLQDR,OLQDL,URYDR,RMED,IL1DR
OLQVL,OLQVL,BAGL,URBL,URYVL,RIPL
RMEL,RMEL,RIPL,URYVL,BAGL,URBL
RMER,RMER,BAGR,RIPR,URYVR,OLQVR
OLQVR,CEPVR,OLQVR,BAGR,URAVR,URYVR
RMED,RMED,RID,OLQDR,OLQDL,CEPDL
RMDVL,RMDVL,SAAVL,RIAL,AVAL,BAGL
,CEPVL,RMEV,BAGL,CEPVR,RMDL
RMDVR,RMDVR,SAAVR,AVAR,RIAR,SMDVR
AVAL,AVAL,SAAVL,RIAL,AFDL,AVEL
,RID,URXL,CEPDR,CEPDL,URXR
,AVAR,AFDR,SAAVR,RMDR,CEPVR
RMEV,RMEV,RIH,SAADL,CEPVR,SAADR
,AVEL,RIAL,SAAVL,RMDL,AFDL
RIAR,RIAR,SAAVR,SMDVR,AVAR,RMDVR
AVAR,AVAR,AVER,RMDR,AFDR,SAAVR
,RMDL,AVEL,SIBDL,AWCL,AIBL
URXL,URXL,CEPDL,ASKL,SMDVL,RIAL
AFDL,AFDL,AWBL,SAAVL,AVAL,RIAL
,SMDVL,RIAL,CEPDL,SAAVL,ASKL
,CEPDR,SMDVR,ASKR,RIAR,URXR
,SMDVR,ASKR,RIAR,SAAVR,ADLR
URXR,URXR,CEPDR,ASKR,SMDVR,ADLR
AFDR,AFDR,AVAR,SAAVR,AWBR,ADFR
AVER,AVER,AVAR,RMDR,AFDR,AWBR
RMDR,RMDR,AVER,AWCR,AVAR,AIBR
,SIBDL,AWCL,AIBL,ASHL,RMDL
,AWAL,AWBL,ASGL,ADFL,ASHL
,AWBL,RIAL,ASKL,ASGL,ADFL
,AWBR,AFDR,AVER,RMDR,ASGR
,SAADR,SAADL,AVER,SIBVR,AIBL
ALA,ALA,CEPDR,URXL,CEPDL,URXR
,ASHL,AWCL,AIBL,ASEL,SIBDL
,RMDDR,RMDR,AIBR,SAADR,SIBVR
,AWAR,ASGR,AWBR,AFDR,ADFR
SIBVR,AWCR,AIBR,ASHR,RMDR,SIBDR
,SIBVL,SMBDL,RMFL,RMDDL,SMDDL
,AIBR,ASHR,AVER,AWCR,AWAR
AIAR,AWCR,AUAR,AIBR,ASHR,SIBDR
,AVHL,ASGL,AWBL,ASEL,RIVL
,ASER,AWCR,ASHR,AFDR,RIBR
,RMFR,RMFL,SMBDL,SMBDR,RMDDR
,RIBR,SMBDR,AIBR,RMDDR,ASJR
,AUAR,RIMR,SMBDR,RMDDR,ASJR
,AUAL,RMDDL,SMBDL,AIBL,SMDDL
AVHR,AVHR,RIVR,ASGR,AVJR,ASER
,ASEL,AVBL,AVDL,AVJL,ASHL
,RIVR,ASGR,ADLR,ASIR,AINR
,ASIL,AVHL,RIVL,ASGL,AVJL
,RIBR,AVDR,AIZR,ASJR,AVBR
,AVDL,AVJL,AINL,AVBL,ASEL
,SMBVL,SIAVL,SMBDL,RMFL,SMBVR
RIMR,AVDR,AINR,AVJR,AVBR,AIZR
,SMBDL,ASJL,RIML,SMBVL,SIAVL
AVJR,AVJR,AINR,AVDR,AIZR,RIVR
SMBVR,SMBVR,SMBDR,SMBVL,SMBDL,SIAVL
,AIAR,AIAL,SMBVL,SIAVL,SMBDL
AVJL,AVJL,AINL,AIZL,AVDL,RIVL
,RICR,AIZR,FLPR,AVDR,ASJR
,AIMR,AIAR,AIML,AIAL,AIYR
,AIZL,AINL,RICL,AVDL,FLPL
AVDR,AINR,AVDR,FLPR,AVJR,AIZR
,RIVL,I6,AINL,M5,I4
M1,M1,RIVR,I4,ASIR,AVJR
,SIAVR,AIMR,SMBVR,VB2,AVKR
,AIYL,FLPL,AIML,RICL,SIAVL
,RIS,SABVR,AIML,SABVL,AIYR
,M5,AINL,FLPL,I6,ADEL
,FLPR,AQR,ADER,AINR,AIZR
,AQR,FLPR,ADER,ADAR,RICR
,VB2,AIML,AVFL,AVKL,AVFR
,AQR,DB2,RIS,ADAR,RMGR
,SABVL,DB2,SABVR,RIS,VB2
,RMGL,AVKL,DB2,RIFL,VB2
,ADAL,RMGL,ADEL,FLPL,M5
,DB2,VB1,VA1,RIFL,SABVL
,VA1,VB1,DB2,DB1,RIFR
FLPR,RMGR,ADAR,AQR,AVG,SABD
ADER,RMGR,ADAR,SABD,AVG,RIFR
,DB1,SABD,DD1,AVG,RIGL
AQR,DA1,SABD,AVG,DD1,AS1
VB1,VA2,DB1,DD1,SABD,RIGL
,AS1,DD1,RIGL,AVG,VD2
,VB3,VD2,DD1,VA2,RIGL
,VD2,VB3,VA2,DD1,AS1
