GT,Top1,Top2,Top3,Top4,Top5
OLQDL,OLQDL,URYDL,RIPL,URBL,OLLL
OLQDR,OLQDR,URYDR,OLLR,RMED,URBR
RMED,RMED,OLQDR,URYDR,OLQDL,RID
RMEL,RMEL,RIPL,BAGL,URBL,URYDL
RMER,RMER,BAGR,RIPR,URBR,URYDR
OLQVL,OLQVL,BAGL,URYVL,RIPL,URBL
OLQVR,OLQVR,URBR,BAGR,URYVR,URAVR
CEPVL,CEPVL,BAGL,OLQVL,CEPVR,RMEV
CEPVR,CEPVR,BAGR,OLQVR,URAVR,RMEV
URYVL,URYVL,URBL,IL1L,URAVL,BAGL
IL1VL,IL1VL,IL2VL,IL1VR,URAVR,URYVL
IL1VR,IL1VR,IL1VL,IL2VR,URAVR,IL1R
IL1DL,IL1DL,URYDL,IL1DR,URADL,M4
IL1DR,IL1DR,URADR,URYDR,IL1DL,OLLR
BAGL,BAGL,RIPL,URBL,RMEL,OLQVL
OLLL,OLLL,IL1L,IL2L,URBL,URYDL
OLLR,OLLR,IL1R,URBR,IL2R,URADR
IL2L,IL2L,IL1L,URBL,OLLL,RIPL
IL2DL,IL2DL,MI,I3,M4,MCL
IL2DR,IL2DR,URADR,I3,IL2R,MI
URYDL,URYDL,OLLL,IL1DL,OLQDL,RIPL
URYDR,URYDR,OLLR,URADR,URBR,RIPR
IL2VL,IL2VL,NSML,M3L,IL1VL,I2L
IL2VR,IL2VR,NSMR,I2R,MCR,IL1VR
IL1L,IL1L,URBL,RIPL,IL2L,OLLL
RMDVL,RMDVL,AVAL,SAAVL,RMDL,RIAL
AVAL,AVAL,RMDVL,RMDL,AVEL,SAAVL
AVEL,AVEL,RMDL,AVAL,SIBDL,AIBL
RMDL,RMDL,AVEL,AVAL,RMDVL,SIBDL
RMDVR,RMDVR,AVAR,RIAR,SMDVR,SAAVR
AVAR,AVAR,RMDR,AVER,RMDVR,AFDR
AVER,AVER,AVAR,RMDR,AFDR,RIAR
AFDL,AFDL,AVAL,AVEL,AWBL,RMDL
ALA,ALA,URXL,RID,CEPDL,URXR
CEPDL,CEPDL,URXL,ASKL,ALA,RID
CEPDR,CEPDR,URXR,ASKR,SMDVR,RIAR
URXL,URXL,CEPDL,ASKL,RID,URXR
URXR,URXR,CEPDR,ASKR,SMDVR,RID
AIBL,AWCL,AIBL,SIBDL,ASHL,RMDL
AUAL,AUAL,AIBL,AVDL,AWCL,RIBL
RIML,AVDL,RIBL,RIML,AVBL,AVJL
ASEL,ASEL,AVJL,AVDL,RIBL,AVBL
RIMR,AVDR,AIZR,RIBR,AVBR,AINR
AVDL,AVJL,AVDL,ASEL,AINL,AVBL
AINL,AINL,AVDL,AVJL,I6,AVBL
AWBL,AWBL,AVAL,ASGL,ADFL,AWAL
AWAL,AWAL,ASGL,AWBL,ADFL,ASEL
AVJL,AVJL,AVHL,ASEL,AWBL,ASGL
RMDDL,RMDDL,AIBL,AWCL,SIBDL,SMDDL
RMDDR,RMDDR,SMBDR,RIMR,RMFR,SMDDR
SAAVL,SAAVL,AVAL,RMDVL,RIAL,SMDVL
RIAL,RIAL,SMDVL,SAAVL,RMDVL,CEPDL
SAAVR,SAAVR,RIAR,AVAR,SMDVR,AFDR
AIZL,AIZL,RICL,FLPL,M2L,ADEL
AVG,VD1,DD1,AVG,VD2,RIGL
VD2,VB3,VD2,VA2,DA1,DD1
DD1,DD1,VD2,DA1,AVG,AS1
FLPL,FLPL,ADEL,AIML,ADAL,AIYL
I3,I3,MI,M4,IL2DR,IL2DL
,NSML,MCL,I2L,I1L,I1R
I2L,I2L,I1L,NSML,MCL,I1R
I2R,I2R,MCR,NSMR,I1R,I1L
,URADL,M4,IL1DL,URYDL,OLLL
,URBL,RIPL,BAGL,IL1L,RMEL
,URYVR,IL1R,URBR,RIPR,BAGR
,URAVL,URYVL,URAVR,BAGL,OLQVL
M3L,M3L,NSML,IL2VL,I2L,MCL
M3R,M3R,IL1R,NSMR,IL2R,URBR
,SMDVL,RIAL,CEPDL,RMDVL,SAAVL
,ASKL,ADLL,ASGL,ASIL,AWAL
,ASGL,RIVL,AWBL,AVHL,ASIL
,AINR,AVJR,AVDR,AVBR,ASIR
,ASGR,AWBR,ASER,AVHR,ADLR
,RIVR,AVHR,ASIR,ADLR,AVJR
,RIVL,I4,ADLL,ASIL,I6
,AVHL,RIVL,ASIL,ADLL,AVJL
,RICL,AIZL,ASJL,M2L,RIML
,SMBDL,RMFL,SMBVL,RMHL,RMFR
,SMBVL,SMBDL,RMFL,RIML,AVL
,SMBVL,SMBDL,SIAVL,SMBVR,SMBDR
,SMBDL,SMBDR,RMFL,RMFR,SMBVL
,AUAR,AIBR,AWCR,RIBR,ASHR
,ASHL,AWCL,AIBL,ASEL,AWBL
,AIBR,AVER,RMDR,ASHR,AWCR
,AWCR,ASHR,AIBR,RIBR,ASER
,SAADR,SAADL,RMEV,SIBVR,RIH
,RMEV,SAADR,SAADL,AVER,RMDR
,RMDR,AVAR,AVER,AWCR,AFDR
,RICR,AIZR,ASJR,RIMR,RIBR
,FLPR,AIZR,RICR,ADER,ASJR
,AWAR,AWBR,AFDR,ASGR,RIAR
,AFDR,AWBR,RIAR,SMDVR,ADFR
,RMFR,SMBDR,RMFL,SMBDL,RMHR
,I6,M5,ADEL,ADAL,FLPL
,M1,ADER,I6,I4,ADAR
,SIAVL,SMBVL,SIAVR,RICL,SMBVR
,AIAR,SMBVR,AIMR,SABVR,RIS
,RIS,AIMR,VB2,SABVR,AIAR
,VB2,AIML,DB2,RIS,SABVL
,DB2,SABVL,VA1,RIFL,SABVR
,VA1,DB2,RIFR,SABVL,RIFL
,AQR,RMGR,ADAR,ADER,DB2
,ADAR,VB2,DB2,AVFR,AVKL
,ADAL,RMGL,RIGL,VB1,ADEL
,VB1,RIGL,VA1,DB1,RIGR
,ADEL,ADAL,VB2,RMGL,AIML
,RIGL,RIGR,DD1,AVG,VD1
,VB2,AIML,ADAL,ADEL,RIS
,ADAR,VB2,AVKR,AQR,AVKL
,AVG,DB1,DD1,VD1,VA1
,RIGL,RIGR,AS1,DD1,DA1
,SABD,DA1,DB1,AVG,AS1
,VD2,DD1,VB3,DA1,VD1
,VA2,DA1,VB3,VD2,AS1
,VA2,VB3,DA1,AS1,VD2
I1L,I1R,I1L,I2L,MCR,MCL
,AVJR,ASER,AVHR,ASGR,AWBR
