GT,Top1,Top2,Top3,Top4,Top5
I1L,I1L,I1R,I2L,MCL,MCR
I1R,I1R,I1L,MCR,I2R,MCL
I2L,I2L,MCL,NSML,I1L,I1R
MCL,MCL,I2L,MCR,NSML,I1L
I2R,I2R,NSMR,MCR,I1R,MCL
MCR,MCR,NSMR,I2R,MCL,I1R
MI,MI,I3,M4,IL2DL,IL2DR
NSML,MCL,NSML,I2L,MCR,M3L
NSMR,NSMR,I2R,MCR,I1R,MCL
I3,I3,MI,IL2DL,IL2DR,M4
M4,M4,I3,IL2DR,IL2DL,URADL
M3L,M3L,NSML,M3R,IL2VL,MCL
M3R,M3R,M3L,IL2DR,NSMR,IL2R
IL2L,NSML,I2L,MCL,M3L,IL2L
IL2DR,IL2DR,URADR,I3,IL1DR,M4
IL2DL,IL2DL,URADL,IL2L,OLLL,I3
IL1R,IL2R,URADR,IL2DR,OLLR,IL1R
IL1L,IL1L,M3L,IL2L,NSML,I2L
IL1VL,IL1VL,IL2VL,IL1VR,IL2VR,M3L
IL2R,URADR,IL2R,URYDR,OLLR,IL2DR
IL2VR,IL2VR,URYVR,IL1R,IL2R,IL1VR
OLLL,OLLL,IL2L,URADL,IL1L,URYDL
URADR,URADR,IL1DR,URYDR,IL2DR,OLQDR
IL2VL,IL1VL,IL2VR,IL2VL,IL1VR,URAVL
URYVL,IL1L,URYVL,IL1VL,IL2VL,URAVL
URYVR,IL1R,OLLR,IL2R,URBR,URYVR
RIPL,IL2L,IL1L,URBL,URYVL,RIPL
IL1DL,IL1DL,URADL,URYDL,IL1DR,OLQDL
IL1VR,IL1VR,IL2VR,IL1VL,URYVR,URAVR
URBR,OLLR,URYDR,IL2R,URADR,URBR
OLLR,URYDR,OLQDR,IL1DR,URADR,OLLR
URADL,URADL,URYDL,IL1DL,OLQDL,OLLL
URAVR,IL1R,URYVR,URAVR,URBR,IL2VR
IL1DR,IL1DR,OLQDR,IL1DL,OLQDL,URYDR
URBL,URBL,IL2L,URYVL,IL1L,RIPL
URYDR,URYDR,IL1DR,OLQDR,URADR,OLQDL
BAGL,URYVL,IL1L,RIPL,URAVL,URBL
URAVL,URAVL,URAVR,IL1VL,URYVL,IL1VR
URYDL,URYDL,OLQDL,RIPL,IL1DL,RMEL
OLQVR,OLQVR,URYVR,URBR,RIPR,IL1R
RIPR,RIPR,URYDR,OLQDR,URBR,RMER
OLQDL,OLQDL,URYDL,IL1DL,RIPL,RMEL
CEPVR,CEPVR,URAVR,OLQVR,URYVR,IL1VR
OLQDR,OLQDR,OLQDL,RMED,IL1DR,URYDR
OLQVL,OLQVL,URAVL,URYVL,IL1VL,CEPVL
BAGR,BAGR,RMER,RIPR,OLQVR,URBR
RMER,RMER,URYDR,OLQDR,RIPR,OLLR
RMEL,RMEL,RIPL,URYVL,URBL,BAGL
RMED,RMED,OLQDL,OLQDR,RID,ALA
RIH,CEPVR,OLQVR,URAVR,BAGR,RMEV
,BAGL,RMEL,RMDVL,OLQVL,RIPL
CEPVL,CEPVL,CEPVR,RMEV,URAVL,OLQVL
SIADR,OLQVR,CEPVR,BAGR,RMEV,RMDVR
RMDVR,SAAVR,RMDVR,SMDVR,CEPDR,RIAR
RID,RID,ALA,URXL,CEPDL,RMED
RMEV,CEPVR,RMEV,RIH,SAADR,AVER
SAAVR,SAAVR,CEPDR,RIAR,SMDVR,URXR
RMDVL,RMDVL,BAGL,AVAL,AVEL,RMDL
AVAR,SAAVR,RMDVR,SMDVR,AVAR,RIAR
ALA,ALA,CEPDL,URXL,RID,URXR
RIAR,CEPDR,URXR,RIAR,SMDVR,SAAVR
AVAL,AVAL,RMDVL,SAAVL,AVEL,RMDL
SMDVR,CEPDR,RIAR,SMDVR,URXR,SAAVR
SAAVL,SAAVL,RIAL,CEPDL,SMDVL,URXL
RMDR,AVAR,RMDVR,AVER,RMDR,AFDR
AFDR,SAAVR,SMDVR,RIAR,AFDR,ADFR
SIBVR,RMDR,SAADR,RIH,AVER,SIBVR
AFDL,AVAL,SAAVL,AVEL,AFDL,RIAL
RMDL,AVEL,RMDL,AVAL,SIBDL,AFDL
URXR,URXL,URXR,ALA,CEPDR,ASKR
AVER,AVER,AVAR,AFDR,RMDVR,SAAVR
RIR,SAADR,RIH,RMEV,SAADL,SIBVR
ASKR,URXR,ASKR,RIAR,CEPDR,ALA
CEPDL,CEPDL,SMDVL,RIAL,URXL,SAAVL
RIAL,RIAL,SAAVL,SMDVL,ADFL,AVAL
CEPDR,URXR,ALA,ASKR,CEPDR,URXL
ADFR,RIAR,ASKR,ADLR,URXR,SMDVR
AWBR,SMDVR,AWBR,RIAR,ADFR,ASKR
ADFL,AVAL,AFDL,AVEL,RMDL,SIBDL
SMDVL,RIAL,SMDVL,SAAVL,ADFL,ASKL
AWCR,AFDR,ASHR,ADFR,AWBR,AWAR
AVEL,AVEL,RMDL,AFDL,AIBL,SIBDL
URXL,ASKL,URXL,CEPDL,ADLL,RIAL
RMDDL,RMDDL,SAADL,SMDDL,AIBL,SAADR
SAADL,SAADR,SAADL,SIBVR,SMDDR,RMDDR
RMDDR,AIBR,RMDR,AVER,SIBDR,SMDDR
SIBDR,ASHR,AFDR,AWCR,RMDR,SIBDR
RIVL,SMDVL,RIAL,SAAVL,ADFL,AWBL
AWAL,ADFL,AFDL,AWAL,AVAL,AWBL
ASHR,ASHR,AWAR,AWBR,AFDR,ADFR
AWCL,RMDL,AWCL,SIBDL,AVEL,ASHL
AIBR,AWAR,AFDR,ASHR,ADFR,AWBR
SIBVL,SAADL,SIBVR,RMDDR,SAADR,SMDDR
SIBDL,SIBDL,AIBL,RMDL,AWCL,AVEL
AWBL,ADFL,AWBL,AFDL,AVAL,ASGL
ADLR,ASKR,ADLR,RIVR,ASIR,URXR
ASKL,ASKL,ADLL,ADFL,RIAL,ASGL
RMFR,RMDDR,SAADL,SIBDR,SIBVR,SMDDR
ASER,AWBR,ASGR,ADFR,AVHR,ADLR
ASGR,ADLR,AWBR,ASKR,ASGR,RIVR
AWAR,ASGR,AWAR,AWBR,ADLR,ASHR
ASHL,ASHL,AWCL,AFDL,AWBL,AWAL
RMHR,SIBVR,RMHR,SIBDR,RMDDR,SMBDR
RMHL,RMHR,SIBVR,RMDDR,SAADL,RMFL
AIBL,AIBL,AWCL,ASHL,SIBDL,RMDDL
ASGL,AWBL,ASGL,AWAL,ASEL,ASHL
SMBVR,AWCR,AUAR,RIBR,AIBR,SIBDR
ADLL,ASGL,ADLL,AWBL,AVHL,RIVL
RMFL,RMFR,RMFL,SMBDR,SMBDL,RMHR
SMDDL,SMBDL,RMFL,RMFR,SMBDR,SMBVL
ASEL,ASEL,ASHL,AWCL,AWBL,ASGL
AVHR,AVHR,AVJR,ASER,ASGR,RIVR
ASIR,ASIR,RIVR,ADLR,AVHR,ASGR
AUAL,AUAL,AWCL,ASHL,ASEL,AIBL
AUAR,AVDR,ASHR,ASER,AVBR,AVJR
RIBL,ASHL,AWCL,AUAL,ASEL,RIBL
AVBR,ASER,AVJR,AVDR,ASGR,AVBR
RIMR,AUAR,RIMR,ASJR,SMBDR,AIAR
SMBDL,SMBDR,RIMR,SMBDL,SMBVL,RMFR
SMDDR,RIBR,RIMR,AUAR,AVDR,ASJR
M2R,ASIR,I4,RIVR,AVJR,ASGR
SMBDR,RIMR,SMBDR,ASJR,RIBR,AIYR
RIBR,AVDR,AVJR,ASER,AVBR,RIBR
M2L,RIBL,AVBL,RMHL,ASJL,M2L
ASIL,AVHL,ASGL,RIVL,ASIL,AVJL
AVBL,AVJL,ASEL,AVBL,ASGL,ASHL
I4,ASIL,RIVL,AVHL,I4,ADLL
,AVBL,AUAL,ASEL,RIBL,ASHL
RIVR,RIVR,AVJR,ASIR,AVHR,AINR
AVJR,AVJR,AVDR,AINR,RIVR,AVHR
M1,RIVL,M1,RIVR,I4,ADLL
ASJR,ASJR,RIMR,AIMR,RICR,AUAR
AIAL,AIAL,AIAR,SMBVL,SMBVR,SIAVR
AVJL,AVJL,ASEL,AVHL,AVBL,AVDL
AIMR,RICR,AIMR,AIZR,ASJR,RIMR
AVDL,AVDL,ASEL,AVJL,AUAL,AVBL
I5,RICR,M2R,I5,AIZR,ASJR
AINR,AVJR,M1,AINR,RIVR,AVDR
RIML,AIZL,AVDL,AUAL,RICL,AVBL
SMBVL,SMBVR,AIMR,SMBVL,SIAVR,AIAR
ASJL,ASJL,AUAL,RICL,AIZL,SMBVL
I6,AVJL,I6,AINL,AVDL,AVBL
AVKR,RICR,AIZR,FLPR,M2R,I5
AIYR,FLPR,RICR,AIMR,I5,AVKR
AVDR,AINR,AVDR,FLPR,M2R,AVJR
AVHL,AVJL,AINL,AIZL,AVBL,AVDL
SAADR,I5,AVKR,AIMR,SIAVR,SMBVR
SIADL,SIAVR,AIMR,AIML,I5,AIAR
RICR,FLPR,RICR,M2R,AIZR,ADER
AIZR,M2R,FLPR,ADAR,ADER,RICR
AVL,AIMR,AIML,AVKR,VB2,SIAVR
AINL,AINL,FLPL,I6,AIZL,AVJL
AIZL,RICL,FLPL,AIZL,ADEL,M2L
SIAVR,FLPR,RICR,I5,ADAR,ADER
RIS,FLPR,AQR,RIS,ADAR,SABVR
AIAR,SABVR,RIS,VB2,I5,SABVL
M5,I6,M5,FLPL,AIZL,ADEL
SIAVL,VB2,RIS,SABVL,AIML,AVFL
RICL,ADEL,RICL,ADAL,FLPL,AIZL
ADER,ADAR,ADER,FLPR,AQR,RMGR
SABVR,RIS,SABVR,AVFR,RIFR,SABVL
,ADAL,RIFL,AVFL,ADEL,RIS
ADEL,FLPL,ADEL,ADAL,RICL,AIZL
FLPR,ADAR,AQR,ADER,RMGR,FLPR
FLPL,ADEL,FLPL,ADAL,SABVL,RIFL
SABVL,RIFR,RIFL,AVFR,RIS,VA1
ADAR,RMGR,ADER,AQR,ADAR,AVG
ADAL,ADAL,ADEL,RMGL,FLPL,RIFL
VB2,RIFR,VA1,VB1,RIFL,DB1
AQR,ADAR,SABD,AVG,AQR,DA1
AIML,VB1,RIGL,VA1,RIGR,RIFL
AIYL,VA1,AS1,VB1,RIFL,RIGL
RMGL,RMGL,ADAL,ADEL,VA1,AS1
AVKL,VD1,RIGL,DD1,VB1,AS1
AVFR,AVG,DB1,SABD,DD1,RIFR
RMGR,AVG,SABD,ADAR,VD2,DA1
AVFL,DD1,SABD,AS1,AVG,DB1
,VD2,SABD,AVG,DA1,DD1
RIFR,VD2,AS1,DD1,DA1,SABD
VB1,VA2,VB3,DA1,VD2,DB1
DB2,VB3,DA1,VD2,SABD,AS1
