GT,Top1,Top2,Top3,Top4,Top5
,I1L,I1R,I2L,MI,MCL
,I1L,I1R,I2L,MCL,MCR
,I1R,I1L,MCR,I2R,MCL
,NSML,I2L,MCL,I1L,IL2VL
I2R,I2R,MCR,I1R,NSMR,MCL
MCR,MCR,MCL,I2R,I1R,NSMR
I2L,I2L,NSML,MCL,I1L,M3L
MCL,MCL,I2L,NSML,I1L,MCR
MI,MI,I3,I1R,M4,I1L
NSMR,MCR,NSMR,I2R,MCL,I1R
I3,I3,MI,M4,IL2DR,IL2DL
NSML,NSML,I2L,MCL,M3L,IL2VL
,IL2L,IL2DL,IL1L,OLLL,NSML
,M4,I3,IL2DL,IL2DR,MCL
M3R,M3R,IL2VR,NSMR,I2R,M3L
,NSMR,MCR,I2R,IL2R,IL2DR
M3L,M3L,IL2VL,IL2L,NSML,IL1L
,IL2DL,M4,I3,URADL,IL1DL
,IL2VL,IL1VL,URYVL,M3L,URAVL
,IL2DR,URADR,IL2R,OLLR,M4
,OLLR,IL2R,IL2DR,URADR,IL1R
,URADL,IL1DL,OLLL,URYDL,IL2DL
,IL1L,IL2L,OLLL,URYDL,URYVL
,IL1R,IL2R,IL2VR,OLLR,M3R
IL1DR,IL1DR,URADR,IL2DR,URYDR,IL1DL
,IL1VL,URAVL,URYVL,IL1L,IL2VL
,OLLL,URYDL,IL1DL,URADL,OLQDL
IL1DL,IL1DL,IL1DR,URYDL,URADL,URADR
,IL2R,IL1R,OLLR,URBR,RIPR
,URADR,URYDR,OLLR,IL2R,IL1DR
,URYVL,IL1L,URBL,RIPL,IL2L
,URYDL,IL1DL,OLQDL,OLLL,URADL
,URBL,OLLL,IL2L,URYDL,RIPL
,IL1VR,IL2VR,IL1VL,URAVL,URYVR
,IL2VR,URYVR,IL1VR,IL1R,OLQVR
,URAVL,URYVL,IL1VL,OLQVL,CEPVL
OLQDR,OLQDR,URYDR,IL1DR,URADR,OLLR
,URBR,RIPR,IL1R,URYDR,OLLR
,RIPL,URBL,URYDL,RMEL,OLLL
OLQVL,URYVL,URBL,OLQVL,RIPL,URAVL
OLQDL,OLQDL,OLQDR,RMED,URYDL,IL1DL
,URYVR,BAGR,RIPR,URAVR,OLQVR
RMED,RMED,OLQDR,URYDR,IL1DR,OLQDL
,URAVR,URYVR,OLQVR,CEPVR,IL1VR
,RIPR,URBR,RMER,BAGR,IL1R
,RMEL,RIPL,URYDL,URBL,OLQDL
,BAGL,OLQVL,RMEL,RIPL,RMDVL
,OLQVL,CEPVL,URAVL,BAGL,URYVL
,OLQVR,CEPVR,URAVR,BAGR,URYVR
,CEPVR,CEPVL,OLQVR,URAVL,RMEV
RMDVR,RMER,BAGR,OLQVR,URBR,RIPR
,CEPVL,OLQVL,AVEL,RMEV,RMDL
,BAGR,RMER,RMDVR,CEPVR,OLQVR
RID,RID,ALA,RMED,CEPDR,URXR
RMDVL,RMDVL,SAAVL,SMDVL,RIAL,AVAL
,CEPVR,BAGR,RMDVR,AVAR,SAAVR
,RMEV,RIH,SAADR,CEPVL,CEPVR
AVAR,AVAR,RMDVR,CEPVR,BAGR,RMDR
,RMDVR,SAAVR,AVAR,BAGR,SMDVR
SMDVL,CEPDL,SAAVL,URXL,SMDVL,RIAL
,SAAVR,SMDVR,RMDVR,RIAR,AVAR
AVAL,AVAL,SAAVL,SMDVL,RIAL,RMDVL
,SAADR,RIH,RMEV,SMDDL,AVEL
,SAAVR,RMDVR,AVAR,SMDVR,RIAR
URXR,CEPDR,URXR,SMDVR,SAAVR,RIAR
RIAL,CEPDL,URXL,RIAL,SMDVL,SAAVL
ALA,ALA,URXR,CEPDR,URXL,ASKR
CEPDR,CEPDR,SMDVR,URXR,RIAR,ASKR
