GT,Top1,Top2,Top3,Top4,Top5
,I2L,I1R,I2R,MCL,I1L
,I1R,I2R,MCR,I1L,I2L
,I3,MI,IL2DR,I1R,I1L
,M4,I3,MI,IL2DR,IL2DL
,M3L,I2L,NSML,MCL,IL2DL
M3R,M3R,I2R,M3L,IL2VR,NSMR
IL1VL,IL1VL,IL1VR,IL2VR,IL2VL,URAVL
,IL2R,IL1R,URBR,OLLR,IL2VR
,IL2L,IL2VL,URYVL,IL1L,M3L
IL1R,IL1R,IL2R,IL2VR,URYVR,OLLR
OLLR,OLLR,URADR,IL2R,IL2DR,URBR
,URADL,IL2DL,OLLL,IL2L,M4
IL2DR,IL2DR,URADR,IL1DR,URYDR,OLQDR
IL1L,IL1L,OLLL,IL2L,URADL,M3L
IL1DL,IL1DL,URADL,M4,IL2DL,IL1DR
,URBR,RIPR,URYVR,IL1R,OLLR
,URYDR,URADR,RIPR,IL1DR,OLLR
IL1DR,IL1DR,URADR,URYDR,IL2DR,OLQDR
,URYDL,OLLL,URADL,IL1DL,OLQDL
,IL2L,URBL,IL1L,OLLL,URYVL
,OLLL,URYDL,URBL,IL2L,IL1L
,URAVR,OLQVR,URYVR,IL1VR,IL2VR
,RMER,RIPR,URYDR,URBR,OLQDR
,URYDL,OLQDL,IL1DL,URADL,OLLL
OLQDR,OLQDR,URYDR,RMED,RMER,IL1DR
,URBL,URYVL,RIPL,OLQVL,BAGL
,URAVL,URAVR,CEPVL,RMEV,OLQVL
BAGR,BAGR,OLQVR,RMER,CEPVR,URAVR
OLQDL,OLQDL,RMED,OLQDR,URYDL,IL1DL
RMER,RMER,BAGR,OLQVR,SAAVR,RMDVR
,OLQDL,URYDL,RIPL,RMEL,URBL
OLQVR,CEPVR,OLQVR,CEPVL,OLQVL,URAVR
,RIPL,RMEL,URBL,BAGL,OLQVL
RMED,RMED,OLQDR,OLQDL,RID,URYDR
,BAGL,OLQVL,RMEL,RMDVL,URBL
RMEV,CEPVL,RMEV,RIH,CEPVR,OLQVL
,RID,RMED,ALA,CEPDR,OLQDR
,CEPDL,SAAVL,RMEL,SMDVL,RIAL
RMDVR,RMDVR,AVAR,AVER,RMDR,SAAVR
,RMDVL,AVAL,AVEL,RMDL,SAAVL
ALA,ALA,RID,CEPDR,URXR,RMED
AVAR,AVAR,RMDVR,RMDR,AVER,AFDR
,SAAVR,RIAR,SMDVR,AFDR,AVAR
,SAADR,SAADL,RIH,SMDDL,SIBVR
URXR,URXR,CEPDR,SAAVR,SMDVR,RIAR
,CEPDR,URXR,ALA,RID,ASKR
RMDR,AVER,RMDR,SMDDR,SIBDR,SAADR
SMDVR,SMDVR,AWBR,SAAVR,RIAR,ASKR
AVER,RMDR,AVER,AVAR,AWCR,AFDR
,AFDR,AWAR,ADFR,ASHR,AVAR
ASKR,ASKR,ADLR,RIAR,SMDVR,AWBR
RMDVL,RIAL,SAAVL,SMDVL,RMDVL,AVAL
,SIBDL,AIBL,SAADL,RMDDL,RIR
,URXL,CEPDL,ALA,ASKL,URXR
,AWBR,AWAR,ASHR,ASGR,AFDR
AVAL,SAAVL,RIAL,AWBL,ADFL,SMDVL
,RMDDR,SIBVR,RMHR,SMBDR,SMDDR
,ASHR,AWCR,AIBR,AWAR,SIBDR
RMDDR,RMDDL,SAADL,RMFR,AIBL,RMDDR
SMDVL,ASKL,URXL,CEPDL,ADLL,RIAL
,ADLR,AWBR,ASGR,AWAR,AVHR
,AFDL,ADFL,AWBL,AVAL,AWAL
,RMHL,SIBVL,RMDDL,RMHR,RMFL
,ASHL,AWCL,AWAL,AFDL,AWBL
,AWCR,AUAR,RIBR,ASHR,ASER
AIZR,RIBR,SMBDR,RIMR,AWCR,AIBR
,AWCL,AIBL,RMDDL,ASHL,AUAL
AFDL,AWBL,ASGL,ADFL,RIAL,SMDVL
AVEL,AWAL,AWBL,ASGL,ASHL,ADFL
,ASGR,ASHR,AVHR,AWAR,AWBR
,ADLL,ASKL,RIVL,ASGL,RIAL
AVHR,ASER,AVBR,ASHR,AVJR,AVHR
,SMBDL,RMFL,SMBVL,RMHL,RMFR
SMBDR,SMBDR,SMBDL,SIBVL,SMBVL,RMFR
,ASGL,AWBL,ASEL,AVHL,AVBL
RMDDL,RIBL,AUAL,ASJL,ASHL,RIML
,ASIL,ASGL,AVBL,AWAL,RIVL
,AVDR,AINR,AIZR,RIBR,AVBR
,RIBR,M2R,AVBR,AIZR,ASIR
,ADLL,ASIL,RIVL,AVHL,ASKL
,ASEL,ASHL,AVBL,RIBL,AVJL
,AIAL,AIAR,SMBVR,SMBVL,SMBDL
,SMBVL,ASJL,SMBVR,AIAL,SMBDL
,AVDR,AINR,AVJR,ASER,AVHR
,ASJR,SMBVR,I5,RIMR,RICR
,AIAR,AIMR,SIAVR,SMBVR,I5
AVDR,AIZR,FLPR,AVDR,AINR,RICR
,AINR,AVDR,FLPR,AIZR,AVJR
,SMBVL,ASJL,SMBVR,AIYL,AIAL
,AVHL,AVJL,AVBL,ASGL,ASEL
M1,AVJR,RIVR,AINR,AVHR,M1
,RIVL,ASIR,I4,ASIL,RIVR
AVJR,AIZR,FLPR,RICR,AINR,ADER
,RICR,I5,FLPR,ADER,AIZR
,AIYL,RICL,AIML,SMBVL,SIAVL
,RIVL,ASIL,AVHL,ADLL,I4
,AIML,AIYL,VB2,SMBVR,I5
,RICL,ASJL,AIZL,AIYL,FLPL
,AIZL,AVDL,AINL,AVBL,AVJL
AINR,ADER,FLPR,AQR,ADAR,AINR
ADER,FLPR,AQR,ADER,ADAR,RMGR
,FLPL,VB2,AIYL,RICL,AIML
AVDL,AVJL,AINL,I6,AVDL,M5
,AINL,I6,M5,ASIL,I4
,AINL,I6,FLPL,M5,AIZL
,FLPL,ADEL,ADAL,SABVL,VB2
ADAR,ADAR,AQR,RMGR,ADER,RIFR
FLPR,AQR,RMGR,RIS,RIFR,DB2
,I6,M5,I4,AINL,M1
,ADAL,RMGL,FLPL,ADEL,M5
,RIFL,AVFL,VB2,RIS,SABVL
,RMGL,RIFL,ADAL,RIFR,AVFL
,RIFL,AVFL,VA1,RIFR,RIS
,VA1,RIFR,AS1,DD1,RIFL
,AS1,DD1,VA1,AVG,DB1
AQR,SABD,AVG,DA1,DD1,VD2
