GT,Top1,Top2,Top3,Top4,Top5
RMER,RMER,BAGR,RIPR,URBR,URYDR
RMEL,RMEL,BAGL,RIPL,URBL,SAAVL
RMEV,RMEV,RIH,SAADR,SAADL,CEPVL
RMED,RMED,OLQDR,RID,URYDR,IL1DR
CEPVR,CEPVR,OLQVR,BAGR,CEPVL,URAVR
CEPVL,CEPVL,BAGL,OLQVL,URAVL,IL1VL
OLQDR,OLQDR,URYDR,IL1DR,RIPR,RMED
OLQDL,OLQDL,URYDL,IL1DL,RMED,OLQDR
IL1DR,IL1DR,URYDR,URADR,OLLR,IL1R
IL1DL,IL1DL,IL1DR,URADL,URYDL,OLQDL
OLQVR,OLQVR,URYVR,BAGR,URBR,URAVR
OLQVL,OLQVL,URYVL,BAGL,URAVL,RIPL
IL1VL,URAVL,URAVR,IL1VL,CEPVL,OLQVR
IL1VR,IL1VR,IL1VL,IL2VR,URYVR,URAVR
OLLR,OLLR,IL2R,URBR,IL1R,URADR
OLLL,OLLL,URADL,IL1L,IL2L,URYDL
IL2DR,IL2DR,M4,MCR,URADR,IL2R
IL2DL,IL2DL,URADL,M4,IL1DL,I3
IL2VR,IL2VR,I2R,IL1VR,NSMR,IL1VL
IL2VL,IL1VL,IL2VL,URAVL,IL1L,URYVL
URYVR,URYVR,IL1R,URBR,RIPR,URAVR
URYDR,URYDR,RIPR,URBR,OLLR,RMER
URYDL,URYDL,URADL,OLLL,RMEL,RIPL
I2R,NSMR,MCR,I2R,MCL,I1R
I2L,I2L,NSML,MCL,I1L,MCR
I3,I3,MI,MCL,M4,MCR
I1R,I1R,I1L,MCR,I2R,I2L
I1L,I1L,I1R,I2L,MCL,MCR
IL2R,IL1R,IL2R,RIPR,MCR,URBR
ALA,ALA,CEPDR,URXR,RID,CEPDL
CEPDR,CEPDR,SMDVR,RIAR,URXR,ASKR
URXR,URXR,CEPDR,SMDVR,RIAR,RID
URXL,URXL,CEPDL,URXR,ASKL,RID
SAAVR,SAAVR,SMDVR,RIAR,RMDVR,BAGR
SAAVL,SAAVL,SMDVL,RIAL,CEPDL,AVAL
RMDVR,RMDVR,AVAR,BAGR,SMDVR,SAAVR
AVAR,AVAR,RMDVR,RMDR,AVER,AFDR
AVER,AVER,RMDR,AVAR,SIBDR,SMDDR
RMDVL,RMDVL,AVAL,RMDL,SMDVL,SAAVL
AVAL,AVAL,SMDVL,RMDL,AWBL,SAAVL
AVEL,AVEL,AVAL,RMDL,AFDL,AWBL
AIBR,AIBR,SIBDR,SMDDR,RMDR,AWCR
AUAR,AUAR,ASHR,AIZR,AWCR,RIBR
AFDR,AFDR,ADFR,RIAR,SMDVR,AVAR
RIMR,RIBR,AVDR,RIMR,ASJR,ASHR
AVDR,AVDR,AINR,AVJR,RIBR,ASHR
RIML,RIBL,AVDL,AVBL,AVJL,ASHL
AVDL,AVDL,AVJL,AINL,AVBL,ASEL
AWBR,AWBR,ADFR,ASGR,SMDVR,AWAR
AWAR,AWAR,ASGR,ASHR,ADFR,AWBR
ASHR,AWCR,ASHR,RMDR,SIBDR,AIBR
ASER,ASER,ASHR,AVJR,AVBR,ASGR
AIBL,AIBL,AWCL,ASHL,AWAL,AFDL
RMDDR,RMDDR,SMDDR,AIBR,SAADL,SIBDR
RMDDL,RMDDL,AIBL,AWCL,AUAL,RMDL
AIZL,AINL,AVBL,AIZL,AVJL,RIBL
AINR,AINR,AVJR,ASIR,AVDR,M2R
AINL,I6,AINL,AVJL,ASIL,RIVL
FLPR,FLPR,AIZR,RICR,M2R,ADER
FLPL,FLPL,ADEL,RICL,ADAL,AIZL
DD1,DD1,AS1,VD2,DA1,AVG
VD1,VD2,DD1,VA2,VB3,DA1
VD2,VB3,VD2,VA2,DA1,DD1
,URADR,URYDR,OLLR,IL1DR,IL2DR
,URBL,RIPL,BAGL,RMEL,IL2L
,IL1L,IL2L,OLLL,RIPL,URADL
URYVL,URYVL,IL1L,RIPL,URAVL,URBL
M3R,M3R,I2R,NSMR,IL2R,IL1R
M3L,M3L,IL2L,NSML,IL2VL,IL1L
,SAADL,SIBDL,RMDL,AWCL,AIBL
,SAADL,SIBVR,SAADR,SMDDL,RIH
,RMFR,RMFL,SMBDL,SAADL,RMDDL
,RIML,SMBVL,AUAL,SMBDL,AWCL
,RIMR,SMBDR,ASJR,SMBVR,SMBDL
,SMBDR,SMBDL,SMBVL,RIMR,RMFL
,RICL,AIZL,SMBVL,ASJL,FLPL
,AVL,SMBVR,AIMR,I5,AIAR
,RICR,FLPR,AIZR,ADER,I5
AUAL,AUAL,ASHL,ASEL,AWCL,RIBL
,RIVR,ASIR,AVJR,AVHR,I4
,RIAL,CEPDL,SAAVL,ASKL,SMDVL
,RIVL,ADLL,ASGL,ASIL,AVHL
,SMBVL,ASJL,AIYR,SMBDL,SMBVR
,SIAVR,SMBVR,AIMR,AIZR,ASJR
,ADLR,ASIR,ASGR,ASKR,AVHR
,AVHR,AVJR,ASGR,RIVR,AINR
,ADLL,ASGL,RIVL,AWBL,ASIL
,AWBL,ASGL,ADLL,ASKL,AWAL
,AIML,VB2,RIS,SABVL,AVKL
,ADAL,ADEL,FLPL,RMGL,RICL
,M1,ADAR,ADER,AINR,M2R
,VB2,RIS,AIML,SABVL,ADAL
,RMGL,ADAL,ADEL,RIFL,RIS
,RIS,RIFL,AVFL,VA1,DB2
,VB2,AVFL,AVFR,RIS,DB2
,AQR,RMGR,ADAR,ADER,RIS
,VB1,VA1,RIGL,RIFR,VB2
,RIFR,VA1,SABD,RIFL,AVG
,RIGL,RIGR,VB1,AVG,VA1
,ADAR,RMGR,AVG,RIFR,DB1
,AVG,DB1,VA1,DD1,VD1
,AVG,DB1,VD1,DD1,RIGL
,SABD,AVG,DA1,DB1,AS1
,DA1,SABD,AS1,VD2,VA2
,DD1,VD2,AS1,RIGL,AVG
,VA2,VB3,VD2,DA1,AS1
,RIFL,RIFR,RMGL,VA1,ADAL
,ADER,FLPR,ADAR,I5,AIZR
,RICL,AIML,AIZL,AIYL,FLPL
,RIVL,AVHL,AVJL,ASGL,ASIL
,RIAR,SMDVR,SAAVR,CEPDR,URXR
,ASEL,ASGL,AVJL,AWBL,AVHL
,ASKR,ADLR,RIAR,URXR,CEPDR
