,Filename,Best_template,top1,top2,top3,top4,top5
0,6,7_YAaLR,0.4925373134328358,0.582089552238806,0.6716417910447762,0.7611940298507462,0.8208955223880597
1,7,76_YAaDV,0.5538461538461539,0.6615384615384615,0.7076923076923077,0.7692307692307693,0.8
2,2022-12-21-06,62_YAaLR,0.12962962962962962,0.2222222222222222,0.25925925925925924,0.3148148148148148,0.35185185185185186
3,20221106-21-00-09,56_YAaDV,0.18181818181818182,0.24242424242424243,0.3333333333333333,0.42424242424242425,0.48484848484848486
4,20230322-20-16-50,56_YAaDV,0.13636363636363635,0.18181818181818182,0.2727272727272727,0.3181818181818182,0.36363636363636365
5,5,7_YAaLR,0.140625,0.3125,0.390625,0.421875,0.46875
6,2023-01-06-08,56_YAaDV,0.16666666666666666,0.3055555555555556,0.4444444444444444,0.4861111111111111,0.5138888888888888
7,4,38_YAaDV,0.4444444444444444,0.6349206349206349,0.6984126984126984,0.7619047619047619,0.7936507936507936
8,20230918-17-21-0,56_YAaDV,0.358974358974359,0.5064102564102564,0.6025641025641025,0.6346153846153846,0.6730769230769231
9,2021-12-03-w00-NP1,56_YAaDV,0.5789473684210527,0.6842105263157895,0.7017543859649122,0.7543859649122807,0.7719298245614035
10,20221106-21-47-31,56_YAaDV,0.20754716981132076,0.33962264150943394,0.37735849056603776,0.39622641509433965,0.4339622641509434
11,20230322-22-43-03,56_YAaDV,0.16666666666666666,0.2619047619047619,0.30952380952380953,0.3333333333333333,0.3333333333333333
12,20230506-12-56-00,56_YAaDV,0.1702127659574468,0.23404255319148937,0.2978723404255319,0.3404255319148936,0.3404255319148936
13,20230506-14-24-57,56_YAaDV,0.1568627450980392,0.17647058823529413,0.23529411764705882,0.3137254901960784,0.3333333333333333
14,1,7_YAaLR,0.5483870967741935,0.6612903225806451,0.7741935483870968,0.8548387096774194,0.8709677419354839
15,38_YAaDV,38_YAaDV,1.0,1.0,1.0,1.0,1.0
16,2023-01-16-08,56_YAaDV,0.07352941176470588,0.16176470588235295,0.3088235294117647,0.35294117647058826,0.4117647058823529
17,20230510-13-25-46,56_YAaDV,0.06521739130434782,0.10869565217391304,0.10869565217391304,0.15217391304347827,0.1956521739130435
18,56_YAaDV,56_YAaDV,1.0,1.0,1.0,1.0,1.0
19,20190928_08,64_YAaDV,0.4644808743169399,0.5956284153005464,0.6502732240437158,0.6775956284153005,0.7158469945355191
20,3,11_YAaLR,0.390625,0.453125,0.625,0.671875,0.75
21,2023-01-16-22,56_YAaDV,0.038461538461538464,0.0641025641025641,0.0641025641025641,0.08974358974358974,0.08974358974358974
22,2,76_YAaDV,0.4482758620689655,0.5862068965517241,0.7068965517241379,0.7586206896551724,0.7931034482758621
