#,k fold group,Dandi_id,Dataset,Filename,top1,top2,top3,top4,top5
1,0,714,HL,2,0.879310345,0.982758621,0.982758621,0.982758621,0.982758621
2,0,541,EY,20190924_03,0.5,0.597826087,0.657608696,0.717391304,0.755434783
3,0,541,EY,20190925_04,0.625,0.698863636,0.761363636,0.806818182,0.829545455
4,0,541,EY,20190928_05,0.573170732,0.676829268,0.713414634,0.75,0.780487805
5,0,541,EY,20190928_08,0.590163934,0.666666667,0.715846995,0.74863388,0.792349727
6,0,541,EY,20191104_10,0.545977011,0.649425287,0.712643678,0.752873563,0.775862069
7,0,472,SK2,2021-12-03-w00-NP1,0.894736842,0.947368421,0.964912281,0.964912281,0.964912281
8,0,472,SK2,2022-02-12-w01-NP1,0.793650794,0.920634921,0.952380952,0.968253968,0.968253968
9,0,776,SF,2022-06-14-07,0.404255319,0.510638298,0.553191489,0.574468085,0.574468085
10,0,776,SF,2022-12-21-06,0.537037037,0.759259259,0.833333333,0.888888889,0.888888889
11,0,776,SF,2023-01-09-15,0.757894737,0.873684211,0.894736842,0.926315789,0.936842105
12,0,776,SF,2023-01-10-07,0.792682927,0.829268293,0.890243902,0.926829268,0.926829268
13,0,776,SF,2023-01-13-07,0.708333333,0.819444444,0.902777778,0.944444444,0.958333333
14,0,776,SF,2023-01-18-01,0.794871795,0.897435897,0.935897436,0.948717949,0.987179487
15,0,776,SF,2023-01-23-15,0.705128205,0.820512821,0.858974359,0.91025641,0.923076923
16,0,565,SK1,20230322-18-57-04,0.5,0.695652174,0.739130435,0.804347826,0.826086957
17,0,565,SK1,20230322-21-41-10,0.705882353,0.882352941,0.882352941,0.941176471,0.941176471
18,0,565,SK1,20230506-12-56-00,0.425531915,0.617021277,0.723404255,0.723404255,0.765957447
19,0,565,SK1,20230510-15-49-47,0.627906977,0.860465116,0.88372093,0.930232558,0.953488372
20,0,692,KK,20230918-17-21-0,0.519230769,0.596153846,0.66025641,0.692307692,0.737179487
21,0,692,KK,20230928-16-0-0,0.5,0.62,0.68,0.753333333,0.773333333
22,0,714,HL,7,0.90625,0.921875,0.9375,0.953125,0.96875
23,1,541,EY,20190924_02,0.528409091,0.619318182,0.698863636,0.732954545,0.75
24,1,541,EY,20190929_02,0.317073171,0.408536585,0.463414634,0.518292683,0.542682927
25,1,541,EY,20191030_03,0.510989011,0.642857143,0.71978022,0.763736264,0.807692308
26,1,541,EY,20191104_08,0.564971751,0.649717514,0.717514124,0.785310734,0.796610169
27,1,472,SK2,2022-01-22-w04-NP1,0.895833333,0.958333333,0.979166667,0.979166667,1
28,1,472,SK2,2022-03-05-w00-NP1,0.903846154,0.923076923,0.923076923,0.942307692,0.961538462
29,1,776,SF,2022-06-28-01,0.271186441,0.372881356,0.389830508,0.406779661,0.457627119
30,1,776,SF,2022-07-15-12,0.64516129,0.725806452,0.822580645,0.838709677,0.838709677
31,1,565,SK1,20221106-21-00-09,0.484848485,0.696969697,0.787878788,0.848484848,0.909090909
32,1,565,SK1,20221106-21-23-19,0.68,0.8,0.84,0.86,0.86
33,1,776,SF,2023-01-16-15,0.671428571,0.8,0.885714286,0.928571429,0.942857143
34,1,776,SF,2023-01-16-22,0.679487179,0.782051282,0.794871795,0.858974359,0.91025641
35,1,776,SF,2023-01-23-08,0.677419355,0.806451613,0.838709677,0.935483871,0.935483871
36,1,565,SK1,20230506-14-24-57,0.37254902,0.529411765,0.607843137,0.666666667,0.745098039
37,1,565,SK1,20230904-15-09-05,0.576923077,0.705128205,0.794871795,0.871794872,0.871794872
38,1,692,KK,20230918-9-54-0,0.52,0.606666667,0.706666667,0.74,0.76
39,1,714,HL,3,0.890625,0.953125,0.953125,0.96875,0.96875
40,1,714,HL,6,0.895522388,0.970149254,0.970149254,0.985074627,0.985074627
41,2,714,HL,1,0.85483871,0.935483871,0.967741935,0.983870968,0.983870968
42,2,541,EY,20190924_01,0.544444444,0.7,0.722222222,0.788888889,0.822222222
43,2,541,EY,20190928_13,0.531428571,0.617142857,0.674285714,0.72,0.754285714
44,2,541,EY,20190929_03,0.428571429,0.537142857,0.64,0.697142857,0.725714286
45,2,541,EY,20190929_05,0.505952381,0.55952381,0.625,0.666666667,0.720238095
46,2,472,SK2,2022-02-12-w00-NP1,0.75,0.866666667,0.9,0.916666667,0.933333333
47,2,472,SK2,2022-04-26-w01-NP1,0.85,0.975,1,1,1
48,2,565,SK1,20221215-20-02-49,0.546875,0.734375,0.84375,0.890625,0.90625
49,2,776,SF,2023-01-05-18,0.670731707,0.768292683,0.914634146,0.951219512,0.975609756
50,2,776,SF,2023-01-09-22,0.710526316,0.789473684,0.881578947,0.894736842,0.907894737
51,2,776,SF,2023-01-16-01,0.766233766,0.883116883,0.922077922,0.922077922,0.935064935
52,2,776,SF,2023-03-07-01,0.283333333,0.383333333,0.466666667,0.466666667,0.466666667
53,2,565,SK1,20230322-20-16-50,0.5,0.659090909,0.75,0.840909091,0.840909091
54,2,565,SK1,20230506-15-01-45,0.575757576,0.757575758,0.878787879,0.909090909,0.96969697
55,2,565,SK1,20230510-13-25-46,0.543478261,0.739130435,0.847826087,0.869565217,0.934782609
56,2,692,KK,20231013-11-11-0,0.466257669,0.613496933,0.674846626,0.717791411,0.760736196
57,2,692,KK,20231013-13-28-0,0.564935065,0.701298701,0.785714286,0.818181818,0.837662338
58,2,714,HL,8,0.863636364,0.939393939,0.96969697,0.96969697,0.96969697
59,3,541,EY,20190925_01,0.461111111,0.644444444,0.672222222,0.694444444,0.722222222
60,3,541,EY,20190928_01,0.573964497,0.668639053,0.704142012,0.73964497,0.798816568
61,3,541,EY,20190928_07,0.536312849,0.659217877,0.709497207,0.737430168,0.748603352
62,3,541,EY,20190929_07,0.613636364,0.676136364,0.738636364,0.772727273,0.795454545
63,3,472,SK2,2022-02-22-w04-NP1,0.854166667,0.916666667,1,1,1
64,3,472,SK2,2022-04-26-w00-NP1,0.921052632,0.973684211,0.973684211,1,1
65,3,776,SF,2022-07-20-01,0.623376623,0.753246753,0.831168831,0.844155844,0.857142857
66,3,565,SK1,20221028-18-48-00,0.454545455,0.545454545,0.659090909,0.727272727,0.795454545
67,3,776,SF,2023-01-16-08,0.647058824,0.720588235,0.808823529,0.808823529,0.838235294
68,3,776,SF,2023-01-17-07,0.82278481,0.898734177,0.911392405,0.936708861,0.949367089
69,3,776,SF,2023-01-23-21,0.756097561,0.817073171,0.902439024,0.93902439,0.951219512
70,3,565,SK1,20230322-22-43-03,0.595238095,0.738095238,0.833333333,0.904761905,0.904761905
71,3,565,SK1,20230510-12-53-34,0.653061224,0.755102041,0.836734694,0.857142857,0.87755102
72,3,565,SK1,20230909-16-48-09,0.527777778,0.75,0.833333333,0.861111111,0.916666667
73,3,692,KK,20230918-13-21-0,0.456375839,0.563758389,0.583892617,0.630872483,0.704697987
74,3,692,KK,20230928-11-14-0,0.47133758,0.579617834,0.668789809,0.72611465,0.74522293
75,3,714,HL,4,0.888888889,0.984126984,1,1,1
76,3,714,HL,9,0.925373134,0.985074627,0.985074627,0.985074627,0.985074627
77,4,541,EY,20190928_03,0.437125749,0.562874251,0.652694611,0.706586826,0.77245509
78,4,541,EY,20190928_11,0.593220339,0.700564972,0.757062147,0.785310734,0.802259887
79,4,541,EY,20190929_06,0.565714286,0.668571429,0.702857143,0.725714286,0.748571429
80,4,541,EY,20191030_07,0.514285714,0.611428571,0.674285714,0.725714286,0.76
81,4,472,SK2,2022-02-11-w03-NP1,0.88372093,1,1,1,1
82,4,472,SK2,2022-04-01-w00-NP1,0.795454545,0.863636364,0.909090909,0.909090909,0.931818182
83,4,776,SF,2022-06-14-01,0.745454545,0.818181818,0.909090909,0.909090909,0.945454545
84,4,776,SF,2022-06-14-13,0.652173913,0.753623188,0.797101449,0.826086957,0.84057971
85,4,565,SK1,20221106-21-47-31,0.528301887,0.622641509,0.679245283,0.716981132,0.754716981
86,4,776,SF,2023-01-06-01,0.257575758,0.318181818,0.363636364,0.393939394,0.409090909
87,4,776,SF,2023-01-06-08,0.763888889,0.833333333,0.902777778,0.902777778,0.930555556
88,4,776,SF,2023-01-17-01,0.674698795,0.795180723,0.86746988,0.903614458,0.903614458
89,4,776,SF,2023-01-19-08,0.181818182,0.309090909,0.363636364,0.454545455,0.527272727
90,4,565,SK1,20230506-15-33-51,0.659090909,0.681818182,0.727272727,0.818181818,0.863636364
91,4,565,SK1,20230904-14-30-52,0.646341463,0.780487805,0.829268293,0.853658537,0.890243902
92,4,565,SK1,20230904-15-59-40,0.607142857,0.678571429,0.785714286,0.803571429,0.857142857
93,4,692,KK,20230928-14-27-0,0.506493506,0.649350649,0.688311688,0.733766234,0.779220779
94,4,714,HL,5,0.859375,0.9375,0.984375,0.984375,0.984375
