#,k fold group,Dandi_id,Dataset,Filename,top1,top2,top3,top4,top5
1,0,714,HL,2,0.879310345,0.948275862,0.982758621,0.982758621,0.982758621
2,0,541,EY,20190924_03,0.418478261,0.554347826,0.586956522,0.657608696,0.706521739
3,0,541,EY,20190925_04,0.528409091,0.670454545,0.721590909,0.75,0.784090909
4,0,541,EY,20190928_05,0.542682927,0.62195122,0.68902439,0.731707317,0.768292683
5,0,541,EY,20190928_08,0.49726776,0.650273224,0.710382514,0.754098361,0.781420765
6,0,541,EY,20191104_10,0.5,0.603448276,0.67816092,0.718390805,0.735632184
7,0,472,SK2,2021-12-03-w00-NP1,0.877192982,0.929824561,0.947368421,0.964912281,0.98245614
8,0,472,SK2,2022-02-12-w01-NP1,0.73015873,0.873015873,0.888888889,0.920634921,0.920634921
9,0,776,SF,2022-06-14-07,0.425531915,0.510638298,0.553191489,0.553191489,0.553191489
10,0,776,SF,2022-12-21-06,0.592592593,0.722222222,0.833333333,0.87037037,0.87037037
11,0,776,SF,2023-01-09-15,0.789473684,0.894736842,0.905263158,0.905263158,0.905263158
12,0,776,SF,2023-01-10-07,0.756097561,0.829268293,0.87804878,0.890243902,0.890243902
13,0,776,SF,2023-01-13-07,0.611111111,0.805555556,0.916666667,0.944444444,0.958333333
14,0,776,SF,2023-01-18-01,0.782051282,0.91025641,0.974358974,0.987179487,1
15,0,776,SF,2023-01-23-15,0.58974359,0.692307692,0.833333333,0.897435897,0.91025641
16,0,565,SK1,20230322-18-57-04,0.456521739,0.586956522,0.652173913,0.695652174,0.717391304
17,0,565,SK1,20230322-21-41-10,0.617647059,0.705882353,0.794117647,0.852941176,0.882352941
18,0,565,SK1,20230506-12-56-00,0.468085106,0.659574468,0.723404255,0.765957447,0.808510638
19,0,565,SK1,20230510-15-49-47,0.604651163,0.860465116,0.930232558,0.953488372,0.953488372
20,0,692,KK,20230918-17-21-0,0.5,0.615384615,0.673076923,0.717948718,0.756410256
21,0,692,KK,20230928-16-0-0,0.493333333,0.593333333,0.673333333,0.693333333,0.726666667
22,0,714,HL,7,0.848484848,0.924242424,0.954545455,0.96969697,0.96969697
23,1,541,EY,20190924_02,0.505681818,0.619318182,0.670454545,0.704545455,0.727272727
24,1,541,EY,20190929_02,0.323170732,0.390243902,0.43902439,0.5,0.542682927
25,1,541,EY,20191030_03,0.489010989,0.631868132,0.703296703,0.747252747,0.78021978
26,1,541,EY,20191104_08,0.610169492,0.661016949,0.694915254,0.734463277,0.757062147
