Filename,Best_template,top1,top2,top3,top4,top5,cost,task
7,9,0.811965811965812,0.8888888888888888,0.9230769230769232,0.9401709401709402,0.9401709401709402,4.505725924784354,train_0
2022-12-21-06,2023-01-10-07,0.4776119402985074,0.6567164179104478,0.7313432835820896,0.7611940298507462,0.7910447761194029,5.986397748668751,train_0
20230918-17-21-0,20230928-16-0-0,0.3141025641025641,0.4038461538461538,0.4294871794871794,0.4679487179487179,0.4871794871794871,9.182134802606765,train_0
2021-12-03-w00-NP1,2022-04-26-w01-NP1,0.686046511627907,0.7267441860465116,0.7674418604651163,0.7674418604651163,0.7790697674418605,6.477175768197999,train_0
20230506-12-56-00,20230909-16-48-09,0.4653465346534653,0.6435643564356436,0.7425742574257426,0.7425742574257426,0.7524752475247525,3.742093936774784,train_0
20190928_08,20190925_04,0.4316939890710382,0.5683060109289617,0.639344262295082,0.6939890710382514,0.7377049180327869,8.714936994915535,train_0
2,1,0.7603305785123967,0.859504132231405,0.8677685950413223,0.8925619834710744,0.8925619834710744,4.231721858140042,train_0
2023-01-13-07,2022-08-02-01,0.4761904761904761,0.6071428571428571,0.7380952380952381,0.75,0.7738095238095238,8.065275357398415,train_0
20191104_10,20191030_07,0.5517241379310345,0.6264367816091954,0.7068965517241379,0.735632183908046,0.7528735632183908,6.290930510937318,train_0
2023-01-23-15,2023-01-17-07,0.5392156862745098,0.6666666666666666,0.7058823529411765,0.7450980392156863,0.7745098039215687,6.340331609920586,train_0
20190925_04,20190924_03,0.0225988700564971,0.0903954802259887,0.1299435028248587,0.1638418079096045,0.1694915254237288,9.038594170786675,train_0
2023-01-09-15,2023-01-09-08,0.2941176470588235,0.3529411764705882,0.3725490196078431,0.3823529411764705,0.3823529411764705,6.487200791287823,train_0
2022-02-12-w01-NP1,2022-02-12-w00-NP1,0.7821229050279329,0.8659217877094972,0.888268156424581,0.8994413407821229,0.8994413407821229,4.096017118858106,train_0
2023-01-10-07,2023-01-18-01,0.5961538461538461,0.6730769230769231,0.7019230769230769,0.7115384615384616,0.7211538461538461,4.965785749051076,train_0
20230928-16-0-0,20230928-14-27-0,0.3666666666666666,0.44,0.4733333333333333,0.5133333333333333,0.5133333333333333,8.621259583077904,train_0
20230510-15-49-47,20230510-12-53-34,0.6635514018691588,0.7663551401869159,0.8037383177570093,0.8411214953271028,0.8504672897196262,3.311501413490727,train_0
2022-06-14-07,2023-01-17-14,0.5617977528089888,0.6853932584269663,0.7528089887640449,0.7752808988764045,0.7865168539325843,6.319794176356411,train_0
20230322-18-57-04,20230909-16-48-09,0.45,0.5916666666666667,0.6333333333333333,0.6416666666666667,0.6583333333333333,4.053038795051085,train_0
20190928_05,20190929_03,0.377906976744186,0.5813953488372093,0.6453488372093024,0.7034883720930233,0.7209302325581395,7.270090009104603,train_0
2023-01-18-01,2022-08-02-01,0.6666666666666666,0.7555555555555555,0.7777777777777778,0.7777777777777778,0.8111111111111111,4.818251904615275,train_0
20190924_03,20190929_02,0.2659574468085106,0.3723404255319149,0.4468085106382978,0.5,0.5372340425531915,7.887243968899615,train_0
20230322-21-41-10,20230322-22-43-03,0.660377358490566,0.8113207547169812,0.8679245283018868,0.8773584905660378,0.8962264150943396,4.133192734262388,train_0
6,4,0.7699115044247787,0.8407079646017699,0.8672566371681416,0.8761061946902655,0.8761061946902655,5.136450144614689,train_1
20221106-21-00-09,20221215-20-02-49,0.4568965517241379,0.646551724137931,0.7068965517241379,0.75,0.7844827586206896,5.683537158448567,train_1
20230506-14-24-57,20230904-14-30-52,0.3846153846153846,0.5288461538461539,0.6442307692307693,0.7115384615384616,0.7307692307692307,3.468232691037777,train_1
3,9,0.7606837606837606,0.8547008547008547,0.9145299145299144,0.9316239316239316,0.9316239316239316,4.019177712402783,train_1
2023-01-16-22,2022-08-02-01,0.5760869565217391,0.6956521739130435,0.7282608695652174,0.75,0.7717391304347826,8.217379140425106,train_1
20191030_03,20191104_08,0.5027027027027027,0.5891891891891892,0.6864864864864865,0.7081081081081081,0.7297297297297297,7.50256040742235,train_1
2022-03-05-w00-NP1,2022-02-12-w01-NP1,0.75,0.8452380952380952,0.8869047619047619,0.8988095238095238,0.9047619047619048,4.376017458571772,train_1
2022-07-15-12,2022-08-02-01,0.5531914893617021,0.7021276595744681,0.7340425531914894,0.7978723404255319,0.8191489361702128,6.187146667104854,train_1
20190929_02,20190925_01,0.2710843373493976,0.3975903614457831,0.4578313253012048,0.4879518072289157,0.536144578313253,8.364929318196204,train_1
2023-01-23-08,2022-08-02-01,0.5340909090909091,0.6590909090909091,0.6818181818181818,0.7045454545454546,0.75,7.010422513579721,train_1
20230904-15-09-05,20230506-15-01-45,0.4477611940298507,0.5373134328358209,0.5970149253731343,0.5970149253731343,0.6044776119402985,3.4822197501946817,train_1
20191104_08,20191030_03,0.5139664804469274,0.6424581005586593,0.6759776536312849,0.7094972067039106,0.7430167597765364,6.920634769825557,train_1
2022-06-28-01,2022-06-28-07,0.4805194805194805,0.5714285714285714,0.6233766233766234,0.6493506493506493,0.6883116883116883,8.565380271053975,train_1
20190924_02,20191104_10,0.4662921348314606,0.6235955056179775,0.6685393258426966,0.7303370786516854,0.7584269662921348,9.878343436490496,train_1
20221106-21-23-19,20221215-20-02-49,0.3805309734513274,0.5398230088495575,0.5929203539823009,0.6283185840707964,0.6283185840707964,4.341197111472045,train_1
2023-01-16-15,2022-08-02-01,0.5384615384615384,0.6813186813186813,0.7582417582417582,0.7802197802197802,0.7912087912087912,6.412071121402662,train_1
2022-01-22-w04-NP1,2022-04-01-w00-NP1,0.6882352941176471,0.8176470588235294,0.8588235294117647,0.888235294117647,0.9,4.2587712734530765,train_1
20230918-9-54-0,20230918-17-21-0,0.3,0.3866666666666666,0.4666666666666667,0.4933333333333333,0.5133333333333333,10.139907067958651,train_1
20230322-20-16-50,20230506-15-33-51,0.6178861788617886,0.7235772357723578,0.7723577235772358,0.7967479674796748,0.8048780487804879,4.847214859547297,train_2
1,4,0.8141592920353983,0.8672566371681416,0.9026548672566372,0.911504424778761,0.911504424778761,4.067270453959643,train_2
20230510-13-25-46,20230909-16-48-09,0.5132743362831859,0.6460176991150443,0.7610619469026548,0.7876106194690266,0.8053097345132744,3.045385408248471,train_2
20190929_05,20191104_10,0.5058823529411764,0.6764705882352942,0.7294117647058823,0.7705882352941177,0.8,7.305779199115663,train_2
20190929_03,20191104_10,0.4606741573033708,0.5842696629213483,0.6629213483146067,0.6910112359550562,0.7191011235955056,6.932616889667063,train_2
20231013-11-11-0,20231013-13-28-0,0.0674846625766871,0.1226993865030674,0.1533742331288343,0.1840490797546012,0.2208588957055214,10.101503109654107,train_2
2023-01-05-18,2022-08-02-01,0.5955056179775281,0.6966292134831461,0.7303370786516854,0.7640449438202247,0.7865168539325843,7.415475808054665,train_2
20221215-20-02-49,20221106-21-23-19,0.4621212121212121,0.5378787878787878,0.5681818181818182,0.5984848484848485,0.6136363636363636,4.512745277271495,train_2
2023-01-09-22,2022-12-21-06,0.40625,0.53125,0.5729166666666666,0.6041666666666666,0.6041666666666666,6.564871362559618,train_2
2022-02-12-w00-NP1,2022-02-12-w01-NP1,0.8,0.88,0.8971428571428571,0.9085714285714286,0.9085714285714286,4.363706563233083,train_2
2023-03-07-01,2022-08-02-01,0.5568181818181818,0.75,0.8181818181818182,0.8181818181818182,0.8522727272727273,7.350461392835538,train_2
20190928_13,20190928_11,0.4857142857142857,0.6114285714285714,0.6971428571428572,0.7542857142857143,0.7714285714285715,8.484306301293294,train_2
20230506-15-01-45,20230510-13-25-46,0.5757575757575758,0.7272727272727273,0.7878787878787878,0.8585858585858586,0.8888888888888888,3.526214774171226,train_2
2023-01-16-01,2022-08-02-01,0.6,0.6705882352941176,0.7176470588235294,0.7411764705882353,0.7647058823529411,6.08388265104597,train_2
