,Worm,Dataset,CPD,fDNC,StatAtlas (base),StatAtlas (retrain),CRF (base),CRF (retrain)
90,20190924_01,EY,0.35,0.2486187845303867,0.4222222222222222,0.5722222222222222,0.594444444,0.633333333
78,20190924_02,EY,0.5056818181818182,0.3370786516853932,0.4147727272727273,0.5681818181818182,0.505681818,0.636363636
81,20190924_03,EY,0.3967391304347826,0.0159574468085106,0.41847826086956524,0.5489130434782609,0.418478261,0.527173913
34,20190925_01,EY,0.3222222222222222,0.4130434782608695,0.35,0.4888888888888889,0.394444444,0.538888889
31,20190925_04,EY,0.3409090909090909,0.0225988700564971,0.5227272727272727,0.6193181818181818,0.528409091,0.607954545
87,20190928_01,EY,0.4378698224852071,0.4186046511627907,0.4319526627218935,0.5976331360946746,0.461538462,0.556213018
86,20190928_03,EY,0.437125748502994,0.0119047619047619,0.4311377245508982,0.5089820359281437,0.389221557,0.502994012
68,20190928_05,EY,0.3353658536585366,0.3081395348837209,0.4024390243902439,0.5670731707317073,0.542682927,0.62804878
70,20190928_07,EY,0.4972067039106145,0.4666666666666667,0.4301675977653631,0.5251396648044693,0.418994413,0.603351955
17,20190928_08,EY,0.3879781420765027,0.0382513661202185,0.46994535519125685,0.5300546448087432,0.49726776,0.530054645
69,20190928_11,EY,0.536723163841808,0.0165745856353591,0.5310734463276836,0.5706214689265536,0.384180791,0.655367232
71,20190928_13,EY,0.32,0.0285714285714285,0.42857142857142855,0.5828571428571429,0.548571429,0.6
40,20190929_02,EY,0.2012195121951219,0.1987951807228915,0.23780487804878048,0.39634146341463417,0.323170732,0.408536585
38,20190929_03,EY,0.2742857142857143,0.2134831460674157,0.32,0.49142857142857144,0.422857143,0.474285714
29,20190929_05,EY,0.5297619047619048,0.2941176470588235,0.3630952380952381,0.5535714285714286,0.458333333,0.523809524
23,20190929_06,EY,0.4057142857142857,0.3370786516853932,0.4342857142857143,0.56,0.457142857,0.605714286
